Company Name,Listed Name,Ticker
Abraxas Petroleum Corp.,Abraxas Petroleum Corporation,AXAS
Adams Resources & Energy Inc.,Adams Resources & Energy,AE
Amplify Energy Corp.,Amplify Energy Corp.,AMPY
Anadarko Petroleum Corp.,,
Antero Resources Corp.,Antero Resources Corp. Register,AR
Apache Corp.,APACHE CORP.  DL -,APA
Approach Resources Inc.,APPROACH RESOURCES INC,AREXQ
Black Stone Minerals LP,,BSM
Bonanza Creek Energy Inc.,Bonanza Creek Energy Inc. Regis,BCEI
Breitburn Energy Partners LP,,
Cabot Oil & Gas Corp.,CABOT OIL + GAS  DL-,COG
California Resources Corp.,CALIFORNIA RESOURCES CORP,CRC
Callon Petroleum Co.,CALLON PETROLEUM CO,CPE
Camber Energy Inc.,CAMBER ENERGY INC. DL-,CEI
Carrizo Oil & Gas Inc.,,
Centennial Resource Development Inc.,,CDEV
Chesapeak Energy Corp.,CHESAPEAKE ENERGY CORP 5.75% CU,CHKAQ
Cimarex Energy Co.,Cimarex Energy Co. Registered S,XEC
Citadel Exploration Inc.,,COIL
CKX Lands Inc.,CKX Lands,CKS
CNX Resources Corp.,CNX Resources Corp. Registered ,CNX
Cobalt International Energy Inc.,,
Comstock Resources Inc.,Comstock Resources Inc. Registe,CRK
Concho Resources Inc.,CONCHO RESOURCES INC,CXO
ConocoPhillips,CONOCOPHILLIPS  DL-,COP
Contango Oil & Gas Co.,CONTANGO OIL+GAS  DL-,MCF
Continental Resources Inc.,Continental Resources,CLR
Daybreak Oil & Gas Inc.,DAYBREAK OIL & GAS INC,DBRM
Denbury Resources Inc.,,
Diamondback Energy Inc.,DIAMONDBACK ENERGY INC,FANG
Dorchester Minerals LP,,DMLP
Earthstone Energy Inc.,Earthstone Energy,ESTE
Eclipse Resources Corp.,,
Energen Corp.,,
Energy XXI Gulf Coast Inc.,,
EOG Resources Inc.,EOG RESOURCES INC. Registered S,EOG
EP Energy Corp.,,EPEGQ
EQT Corp.,EQT CORP.,EQT
ERHC Energy Inc.,ERHC ENERGY INC,ERHE
Erin Energy Corp.,ERIN ENERGY CORP,ERINQ
EV Energy Partners LP,,
Evolution Petroleum Corp.,Evolution Petroleum Corporation,EPM
EXCO Resources Inc.,EXCO RESOURCES INC,EXCE
Extraction Oil & Gas Inc.,EXTRACTION OIL+GAS DL-,XOGAQ
FieldPoint Petroleum Corp.,FIELDPOINT PETROLEUM CORP,FPPP
