key,value
zip,77027
sector,Energy
fullTimeEmployees,664
longBusinessSummary,"Adams Resources & Energy, Inc., through its subsidiaries, primarily engages in the marketing, transportation, and storage of crude oil in the United States. The company operates in two segments, Crude Oil Marketing, Transportation and Storage; and Tank Truck Transportation of Liquid Chemicals and Dry Bulk. The Crude Oil Marketing, Transportation and Storage segment purchases crude oil, and arranges sales and deliveries to refiners and other customers primarily onshore in Texas, Oklahoma, North Dakota, Michigan, and Louisiana. This segment owns and operates a fleet of 256 tractor-trailer rigs and maintains approximately 179 pipeline inventory locations or injection stations. The Tank Truck Transportation of Liquid Chemicals and Dry Bulk segment transports liquid chemicals and dry bulk on a for hire basis in the continental United States and into Canada and Mexico. It operates truck terminals in Houston, Corpus Christi, Nederland, and Freeport, Texas; Baton Rouge, St. Rose, and Boutte, Louisiana; Mobile, Alabama; and Charlotte, North Carolina. Adams Resources & Energy, Inc. was founded in 1947 and is headquartered in Houston, Texas."
city,Houston
phone,713-881-3600
state,TX
country,United States
companyOfficers,[]
website,http://www.adamsresources.com
maxAge,1
address1,17 South Briar Hollow Lane
industry,Oil & Gas Integrated
address2,Suite 100
previousClose,25.61
regularMarketOpen,26.7959
twoHundredDayAverage,23.532734
trailingAnnualDividendYield,0.037485357000000004
payoutRatio,
volume24Hr,
regularMarketDayHigh,26.8
navPrice,
averageDailyVolume10Day,9966
totalAssets,
regularMarketPreviousClose,25.61
fiftyDayAverage,22.035833
trailingAnnualDividendRate,0.96
open,26.7959
toCurrency,
averageVolume10days,9966
expireDate,
yield,
algorithm,
dividendRate,0.96
exDividendDate,1606953600
beta,1.015219
circulatingSupply,
startDate,
regularMarketDayLow,25.82
priceHint,2
currency,USD
regularMarketVolume,9139
lastMarket,
maxSupply,
openInterest,
marketCap,112335576
volumeAllCurrencies,
strikePrice,
averageVolume,6501
priceToSalesTrailing12Months,0.093301505
dayLow,25.82
ask,26.95
ytdReturn,
askSize,900
volume,9139
fiftyTwoWeekHigh,39.7
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,2.58
fiftyTwoWeekLow,15.16
bid,26.11
tradeable,False
dividendYield,0.0375
bidSize,1100
dayHigh,26.8
exchange,ASE
shortName,"Adams Resources & Energy, Inc."
longName,"Adams Resources & Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
quoteType,EQUITY
symbol,AE
messageBoardId,finmb_247978
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.059000000000000004
beta3Year,
profitMargins,-0.0018200000000000002
enterpriseToEbitda,6.897
52WeekChange,-0.18955696
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,4242280
fundInceptionDate,
annualReportExpenseRatio,
bookValue,33.964
sharesShort,17854
sharesPercentSharesOut,0.004200000000000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.38331002000000003
netIncomeToCommon,-2198000
trailingEps,-0.519
lastDividendValue,0.24
SandP52WeekChange,0.13917124
priceToBook,0.7796489999999999
heldPercentInsiders,0.49041998000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.84
sharesShortPreviousMonthDate,1601424000
floatShares,1886629
enterpriseValue,70505896
threeYearAverageReturn,
lastSplitDate,697680000
lastSplitFactor,1:2
legalType,
lastDividendDate,1599091200
morningStarOverallRating,
earningsQuarterlyGrowth,3.802
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0082
sharesShortPriorMonth,21806
category,
fiveYearAverageReturn,
regularMarketPrice,26.7959
logo_url,https://logo.clearbit.com/adamsresources.com
