key,value
zip,77002
sector,Energy
fullTimeEmployees,230
longBusinessSummary,"Amplify Energy Corp. engages in the acquisition, development, exploitation, and production of oil and natural gas properties in the United States. The company's properties consist of operated and non-operated working interests in producing and undeveloped leasehold acreage, as well as working interests in identified producing wells located in Oklahoma, the Rockies, federal waters offshore Southern California, East Texas/North Louisiana, and South Texas. As of December 31, 2019, it had total estimated proved reserves of approximately 163.0 million barrels of oil equivalent; and 2,643 gross wells. Amplify Energy Corp. was founded in 2011 and is based in Houston, Texas."
city,Houston
phone,713 490 8900
state,TX
country,United States
companyOfficers,[]
website,http://www.amplifyenergy.com
maxAge,1
address1,500 Dallas Street
industry,Oil & Gas E&P
address2,Suite 1700
previousClose,0.9225000000000001
regularMarketOpen,0.99
twoHundredDayAverage,1.11259
trailingAnnualDividendYield,0.32520327
payoutRatio,
volume24Hr,
regularMarketDayHigh,1.15
navPrice,
averageDailyVolume10Day,927383
totalAssets,
regularMarketPreviousClose,0.9225000000000001
fiftyDayAverage,0.7802777999999999
trailingAnnualDividendRate,0.30000000000000004
open,0.99
averageVolume10days,927383
expireDate,
yield,
algorithm,
dividendRate,0.5
exDividendDate,1584057600
beta,
circulatingSupply,
startDate,
regularMarketDayLow,0.98
priceHint,4
currency,USD
regularMarketVolume,2683135
lastMarket,
maxSupply,
openInterest,
marketCap,42928408
volumeAllCurrencies,
strikePrice,
averageVolume,777015
priceToSalesTrailing12Months,0.19166094
dayLow,0.98
ask,0
ytdReturn,
askSize,900
volume,2683135
fiftyTwoWeekHigh,7.58
forwardPE,-3.6774192
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.49
bid,0
tradeable,False
dividendYield,0.37310000000000004
bidSize,1200
dayHigh,1.15
exchange,NYQ
shortName,Amplify Energy Corp.
longName,Amplify Energy Corp.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,AMPY
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_134724049
uuid,241e3676-95c0-313a-8da2-689fcd2446f1
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.316
beta3Year,
profitMargins,-2.02579
enterpriseToEbitda,3.355
52WeekChange,
morningStarRiskRating,
forwardEps,-0.31
revenueQuarterlyGrowth,
sharesOutstanding,37656500
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.107
sharesShort,3017912
sharesPercentSharesOut,0.0801
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.52405
netIncomeToCommon,-453737984
trailingEps,-11.968
lastDividendValue,
SandP52WeekChange,
priceToBook,10.654205
heldPercentInsiders,0.19788000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,5.14
sharesShortPreviousMonthDate,1601424000
floatShares,24880370
enterpriseValue,294813088
threeYearAverageReturn,
lastSplitDate,1438646400
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.1
lastCapGain,
shortPercentOfFloat,0.1308
sharesShortPriorMonth,2992737
category,
fiveYearAverageReturn,
regularMarketPrice,0.99
logo_url,https://logo.clearbit.com/amplifyenergy.com
