key,value
zip,77056
sector,Energy
fullTimeEmployees,3163
longBusinessSummary,"Apache Corporation, an independent energy company, explores for, develops, and produces natural gas, crude oil, and natural gas liquids (NGLs). The company has operations in onshore assets located in the Permian and Midcontinent/Gulf Coast onshore regions; and offshore assets situated in the Gulf of Mexico region. It also holds onshore assets in Egypt's Western desert; and offshore assets in the North Sea region, including the United Kingdom. In addition, the company has an offshore exploration program in Suriname. As of December 31, 2019, it had total estimated proved reserves of 551 million barrels of crude oil, 186 million barrels of NGLs, and 1.6 trillion cubic feet of natural gas. Apache Corporation was founded in 1954 and is based in Houston, Texas."
city,Houston
phone,713 296 6000
state,TX
country,United States
companyOfficers,[]
website,http://www.apachecorp.com
maxAge,1
address1,One Post Oak Central
industry,Oil & Gas E&P
address2,Suite 100 2000 Post Oak Boulevard
previousClose,12.86
regularMarketOpen,13.56
twoHundredDayAverage,12.405827500000001
trailingAnnualDividendYield,0.025272160000000002
payoutRatio,
volume24Hr,
regularMarketDayHigh,14.35
navPrice,
averageDailyVolume10Day,11189950
totalAssets,
regularMarketPreviousClose,12.86
fiftyDayAverage,9.616667
trailingAnnualDividendRate,0.325
open,13.56
averageVolume10days,11189950
expireDate,
yield,
algorithm,
dividendRate,0.1
exDividendDate,1603238400
beta,4.837655
circulatingSupply,
startDate,
regularMarketDayLow,13.3901
priceHint,2
currency,USD
regularMarketVolume,18789061
lastMarket,
maxSupply,
openInterest,
marketCap,5299791360
volumeAllCurrencies,
strikePrice,
averageVolume,11678383
priceToSalesTrailing12Months,1.1336453
dayLow,13.3901
ask,0
ytdReturn,
askSize,1100
volume,18789061
fiftyTwoWeekHigh,33.77
forwardPE,117
fromCurrency,
fiveYearAvgDividendYield,3.26
fiftyTwoWeekLow,3.8
bid,0
tradeable,False
dividendYield,0.008700000000000001
bidSize,1300
dayHigh,14.35
exchange,NMS
shortName,Apache Corporation
longName,Apache Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,APA
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_169838
uuid,73880360-3f51-34f8-ad4c-027748ffae7f
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.341
beta3Year,
profitMargins,-1.6782899
enterpriseToEbitda,5.977
52WeekChange,
morningStarRiskRating,
forwardEps,0.12
revenueQuarterlyGrowth,
sharesOutstanding,377478016
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-4.347
sharesShort,15339589
sharesPercentSharesOut,0.040599998000000005
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.8575200000000001
netIncomeToCommon,-7846000128
trailingEps,-20.783
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.00271
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.19
sharesShortPreviousMonthDate,1601424000
floatShares,354508635
enterpriseValue,15617756160
threeYearAverageReturn,
lastSplitDate,1074124800
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.4
lastCapGain,
shortPercentOfFloat,0.0553
sharesShortPriorMonth,13132790
category,
fiveYearAverageReturn,
regularMarketPrice,13.56
logo_url,https://logo.clearbit.com/apachecorp.com
