key,value
zip,80202
sector,Energy
fullTimeEmployees,520
longBusinessSummary,"Antero Resources Corporation, an independent oil and natural gas company, acquires, explores for, develops, and produces natural gas, natural gas liquids, and oil properties in the United States. As of December 31, 2019, the company had approximately 451,000 net acres in the southwestern core of the Marcellus Shale; and 91,000 net acres in the core of the Utica Shale. It also owned and operated 324 miles of gas gathering pipelines in the Marcellus Shale; 17 compressor stations in the Marcellus Shale; 110 miles of low-pressure and high-pressure gathering pipelines in the Utica Shale; 8 miles of high-pressure pipelines; and 2 compressor stations in the Utica Shale. The company had estimated proved reserves of 18.9 trillion cubic feet of natural gas equivalent, including 11.5 trillion cubic feet of natural gas; 652 million barrels of assumed recovered ethane; 540 million barrels of primarily propane, isobutane, normal butane, and natural gasoline; and 42 million barrels of oil. The company was formerly known as Antero Resources Appalachian Corporation and changed its name to Antero Resources Corporation in June 2013. Antero Resources Corporation was founded in 2002 and is headquartered in Denver, Colorado."
city,Denver
phone,303 357 7310
state,CO
country,United States
companyOfficers,[]
website,http://www.anteroresources.com
maxAge,1
address1,1615 Wynkoop Street
fax,303 357 7315
industry,Oil & Gas E&P
previousClose,4.21
regularMarketOpen,4.3
twoHundredDayAverage,3.2809353
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,4.54
navPrice,
averageDailyVolume10Day,9328383
totalAssets,
regularMarketPreviousClose,4.21
fiftyDayAverage,3.6677778
trailingAnnualDividendRate,
open,4.3
averageVolume10days,9328383
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,4.7790300000000006
circulatingSupply,
startDate,
regularMarketDayLow,4.23
priceHint,4
currency,USD
regularMarketVolume,8515702
lastMarket,
maxSupply,
openInterest,
marketCap,1179470080
volumeAllCurrencies,
strikePrice,
averageVolume,9428352
priceToSalesTrailing12Months,0.36235884
dayLow,4.23
ask,0
ytdReturn,
askSize,4000
volume,8515702
fiftyTwoWeekHigh,4.64
forwardPE,-19.086956
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.64
bid,0
tradeable,False
dividendYield,
bidSize,4000
dayHigh,4.54
exchange,NYQ
shortName,Antero Resources Corporation
longName,Antero Resources Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,AR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_4544094
uuid,5b61a1b2-98a0-306e-ba69-33a97e68d763
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.233
beta3Year,
profitMargins,-0.5591200000000001
enterpriseToEbitda,-74.317
52WeekChange,
morningStarRiskRating,
forwardEps,-0.23
revenueQuarterlyGrowth,
sharesOutstanding,268672000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,21.106
sharesShort,57460938
sharesPercentSharesOut,0.2139
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.8371700000000001
netIncomeToCommon,-1819922944
trailingEps,-6.495
lastDividendValue,
SandP52WeekChange,
priceToBook,0.20799771
heldPercentInsiders,0.12547
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,6.51
sharesShortPreviousMonthDate,1601424000
floatShares,224787070
enterpriseValue,7266769920
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.38
lastCapGain,
shortPercentOfFloat,0.27969998
sharesShortPriorMonth,59549346
category,
fiveYearAverageReturn,
regularMarketPrice,4.3
logo_url,https://logo.clearbit.com/anteroresources.com
