key,value
zip,76116
sector,Energy
fullTimeEmployees,99
longBusinessSummary,"Approach Resources, Inc., an independent energy company, focuses on the acquisition, exploration, development, and production of unconventional oil and gas reserves. The company's properties are primarily located in the Permian Basin in west Texas. It also owns interests in east Texas Basin. As of December 31, 2018, its estimated proved reserves were 180.1 million barrels of oil equivalent located in Crockett and Schleicher counties, Texas. The company also owned and operated 813 producing oil and gas wells in the Permian Basin. Approach Resources, Inc. was incorporated in 2002 and is headquartered in Fort Worth, Texas."
city,Fort Worth
phone,817-989-9000
state,TX
country,United States
companyOfficers,[]
website,http://www.approachresources.com
maxAge,1
address1,One Ridgmar Centre
fax,817-989-9001
industry,Oil & Gas E&P
address2,Suite 900 6500 West Freeway
previousClose,0.00855
regularMarketOpen,0.007750000000000001
twoHundredDayAverage,0.021870846000000003
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.0099
navPrice,
averageDailyVolume10Day,372573
totalAssets,
regularMarketPreviousClose,0.00855
fiftyDayAverage,0.012288889
trailingAnnualDividendRate,
open,0.007750000000000001
averageVolume10days,372573
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.466178
circulatingSupply,
startDate,
regularMarketDayLow,0.007500000000000001
priceHint,4
currency,USD
regularMarketVolume,65873
lastMarket,
maxSupply,
openInterest,
marketCap,739679
volumeAllCurrencies,
strikePrice,
averageVolume,618061
priceToSalesTrailing12Months,0.01030854
dayLow,0.007500000000000001
ask,
ytdReturn,
askSize,
volume,65873
fiftyTwoWeekHigh,0.099
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.003
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.0099
exchange,PNK
shortName,APPROACH RESOURCES INC
longName,"Approach Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,AREXQ
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_33447962
uuid,d4679dce-4bd7-365a-ac8a-5316a5cf1348
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.729
beta3Year,
profitMargins,-0.6788200000000001
enterpriseToEbitda,11.437
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,93630400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,2997783
sharesPercentSharesOut,0.032
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0.48431998
netIncomeToCommon,-48708000
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.03855
nextFiscalYearEnd,1609372800
mostRecentQuarter,1569801600
shortRatio,3.46
sharesShortPreviousMonthDate,1569801600
floatShares,87164607
enterpriseValue,411054112
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1572480000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0645
sharesShortPriorMonth,2951694
category,
fiveYearAverageReturn,
regularMarketPrice,0.007750000000000001
logo_url,https://logo.clearbit.com/approachresources.com
