key,value
zip,78258
sector,Energy
longBusinessSummary,"Abraxas Petroleum Corporation, an independent energy company, engages in the acquisition, exploration, exploitation, development, and production of oil and gas properties in the United States. The company operates oil and gas assets in the Permian/Delaware Basin, the Rocky Mountain, and South Texas regions. As of December 31, 2019, its estimated net proved reserves were 56.4 million barrels of oil equivalent. The company was founded in 1977 and is based in San Antonio, Texas."
city,San Antonio
phone,210 490 4788
state,TX
country,United States
companyOfficers,[]
website,http://www.abraxaspetroleum.com
maxAge,1
address1,18803 Meisner Drive
fax,210 918 6675
industry,Oil & Gas E&P
previousClose,2.34
regularMarketOpen,2.5433
twoHundredDayAverage,3.6925179999999997
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,2.95
navPrice,
averageDailyVolume10Day,527183
totalAssets,
regularMarketPreviousClose,2.34
fiftyDayAverage,2.1572223
trailingAnnualDividendRate,
open,2.5433
averageVolume10days,527183
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.5022539999999998
circulatingSupply,
startDate,
regularMarketDayLow,2.38
priceHint,4
currency,USD
regularMarketVolume,1032500
lastMarket,
maxSupply,
openInterest,
marketCap,21092684
volumeAllCurrencies,
strikePrice,
averageVolume,651920
priceToSalesTrailing12Months,0.36000484
dayLow,2.38
ask,0
ytdReturn,
askSize,800
volume,1032500
fiftyTwoWeekHigh,11
forwardPE,-6.972222
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.4100000000000001
bid,0
tradeable,False
dividendYield,
bidSize,2900
dayHigh,2.95
exchange,NMS
shortName,Abraxas Petroleum Corporation
longName,Abraxas Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,AXAS
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_334518
uuid,680d753e-0d06-3426-8a97-abdd6b1e1cad
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.813
beta3Year,
profitMargins,0
enterpriseToEbitda,3.651
52WeekChange,
morningStarRiskRating,
forwardEps,-0.36
revenueQuarterlyGrowth,
sharesOutstanding,8403460
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.507
sharesShort,859920
sharesPercentSharesOut,0.1017
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.11555000400000001
netIncomeToCommon,-183696000
trailingEps,-21.972
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.029810000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.03
sharesShortPreviousMonthDate,1601424000
floatShares,8085751
enterpriseValue,223430176
threeYearAverageReturn,
lastSplitDate,1603065600
lastSplitFactor,1:20
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.89
lastCapGain,
shortPercentOfFloat,0.1313
sharesShortPriorMonth,591127
category,
fiveYearAverageReturn,
regularMarketPrice,2.5433
logo_url,https://logo.clearbit.com/abraxaspetroleum.com
