key,value
zip,77024
sector,Energy
longBusinessSummary,"Petrolia Energy Corporation engages in the exploration, development, and production of oil and gas properties in the United States. The company holds a 100% working interests in the Minerva-Rockdale Field comprising approximately 50 square miles located in Austin, Texas; the Slick Unit Dutcher Sands oilfield consisting of approximately 2,600 acres located in Creek County, Oklahoma; and the Twin Lakes San Andres Unit covering an area of approximately 4,864 acres located in Chavez County, New Mexico. It holds a 25% interest in approximately 41,526 acres located in the Luseland, Hearts Hill, and Cuthbert fields, located in Southwest Saskatchewan and Eastern Alberta, Canada. The company was formerly known as Rockdale Resources Corporation and changed its name to Petrolia Energy Corporation in September 2016. Petrolia Energy Corporation was incorporated in 2002 and is headquartered in Houston, Texas."
city,Houston
phone,832-941-0011
state,TX
country,United States
companyOfficers,[]
website,http://www.petroliaenergy.com
maxAge,1
address1,710 North Post Oak Road
fax,832-941-0022
industry,Oil & Gas E&P
address2,Suite 500
previousClose,0.02
regularMarketOpen,0.01615
twoHundredDayAverage,0.040302157000000005
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.02
navPrice,
averageDailyVolume10Day,16
totalAssets,
regularMarketPreviousClose,0.02
fiftyDayAverage,0.028472222000000002
trailingAnnualDividendRate,
open,0.01615
averageVolume10days,16
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.2530999999999999
circulatingSupply,
startDate,
regularMarketDayLow,0.02
priceHint,4
currency,USD
regularMarketVolume,25
lastMarket,
maxSupply,
openInterest,
marketCap,3290979
volumeAllCurrencies,
strikePrice,
averageVolume,22410
priceToSalesTrailing12Months,1.6798964
dayLow,0.02
ask,0
ytdReturn,
askSize,0
volume,25
fiftyTwoWeekHigh,0.09
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.011
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.02
exchange,PNK
shortName,PETROLIA ENERGY CORP
longName,Petrolia Energy Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,BBLS
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_28368194
uuid,342eae82-23ce-3c51-a228-9734babf7786
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.542
beta3Year,
profitMargins,-1.6823599
enterpriseToEbitda,-1.484
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,164548992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.046
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0
netIncomeToCommon,-3475262
trailingEps,-0.019
lastDividendValue,
SandP52WeekChange,
priceToBook,0.43478259999999996
heldPercentInsiders,0.06645000000000001
nextFiscalYearEnd,1609372800
mostRecentQuarter,1553990400
shortRatio,
sharesShortPreviousMonthDate,
floatShares,58337460
enterpriseValue,4978989
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.01615
logo_url,https://logo.clearbit.com/petroliaenergy.com
