key,value
zip,80202
sector,Energy
fullTimeEmployees,125
longBusinessSummary,"Bonanza Creek Energy, Inc., an exploration and production company, focuses on the extraction of onshore oil and related liquids-rich natural gas in the United States. Its primary oil and liquids-weighted assets are located in the Wattenberg Field in Colorado. As of December 31, 2019, the company had proved reserves of 121.9 million barrel of oil equivalent. Bonanza Creek Energy, Inc. was founded in 1999 and is headquartered in Denver, Colorado."
city,Denver
phone,720 440 6100
state,CO
country,United States
companyOfficers,[]
website,http://www.bonanzacrk.com
maxAge,1
address1,410 17th Street
fax,720 305 0804
industry,Oil & Gas E&P
address2,Suite 1400
previousClose,24.76
regularMarketOpen,25.55
twoHundredDayAverage,18.790648
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,25.68
navPrice,
averageDailyVolume10Day,202550
totalAssets,
regularMarketPreviousClose,24.76
fiftyDayAverage,20.399723
trailingAnnualDividendRate,
open,25.55
averageVolume10days,202550
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.07328
circulatingSupply,
startDate,
regularMarketDayLow,23.79
priceHint,2
currency,USD
trailingPE,12.659741
regularMarketVolume,237309
lastMarket,
maxSupply,
openInterest,
marketCap,507734336
volumeAllCurrencies,
strikePrice,
averageVolume,178576
priceToSalesTrailing12Months,2.1594505
dayLow,23.79
ask,0
ytdReturn,
askSize,800
volume,237309
fiftyTwoWeekHigh,25.8
forwardPE,6.1231155
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,8.25
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,25.68
exchange,NYQ
shortName,"Bonanza Creek Energy, Inc."
longName,"Bonanza Creek Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,BCEI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_117973925
uuid,72c1b6ec-75ee-34ee-9b8f-50830c62e0b9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.409
beta3Year,
profitMargins,0.17031999
enterpriseToEbitda,3.1310000000000002
52WeekChange,
morningStarRiskRating,
forwardEps,3.98
revenueQuarterlyGrowth,
sharesOutstanding,20834400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,47.18
sharesShort,1101236
sharesPercentSharesOut,0.0529
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,1.07321
netIncomeToCommon,40045000
trailingEps,1.925
lastDividendValue,
SandP52WeekChange,
priceToBook,0.5165324
heldPercentInsiders,0.021860002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,7.47
sharesShortPreviousMonthDate,1601424000
floatShares,18612227
enterpriseValue,566323392
threeYearAverageReturn,
lastSplitDate,1493596800
lastSplitFactor,1000:111588
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.909
dateShortInterest,1604016000
pegRatio,0.56
lastCapGain,
shortPercentOfFloat,0.0721
sharesShortPriorMonth,1209643
category,
fiveYearAverageReturn,
regularMarketPrice,25.55
logo_url,https://logo.clearbit.com/bonanzacrk.com
