key,value
zip,77002
sector,Energy
longBusinessSummary,"Black Stone Minerals, L.P. owns and manages oil and natural gas mineral interests in the United States. The company owns mineral interests in approximately 16.8 million acres, nonparticipating royalty interests in 1.8 million acres, and overriding royalty interests in 1.7 million acres located in 41 states in the United States. As of December 31, 2019, the company had a total estimated proved oil and natural gas reserves of 68,543 barrels of oil equivalent. Black Stone Minerals, L.P. was founded in 1876 and is based in Houston, Texas."
city,Houston
phone,713 445 3200
state,TX
country,United States
companyOfficers,[]
website,http://www.blackstoneminerals.com
maxAge,1
address1,1001 Fannin Street
fax,713 658 0943
industry,Oil & Gas E&P
address2,Suite 2020
previousClose,7.55
regularMarketOpen,7.6
twoHundredDayAverage,6.667482
trailingAnnualDividendYield,0.090066224
payoutRatio,1.7647
volume24Hr,
regularMarketDayHigh,7.74
navPrice,
averageDailyVolume10Day,579500
totalAssets,
regularMarketPreviousClose,7.55
fiftyDayAverage,6.5655556
trailingAnnualDividendRate,0.68
open,7.6
averageVolume10days,579500
expireDate,
yield,
algorithm,
dividendRate,0.6000000000000001
exDividendDate,1605139200
beta,1.589064
circulatingSupply,
startDate,
regularMarketDayLow,7.46
priceHint,2
currency,USD
trailingPE,14.149532
regularMarketVolume,635678
lastMarket,
maxSupply,
openInterest,
marketCap,1565089920
volumeAllCurrencies,
strikePrice,
averageVolume,498518
priceToSalesTrailing12Months,4.9812694
dayLow,7.46
ask,0
ytdReturn,
askSize,900
volume,635678
fiftyTwoWeekHigh,13.535
forwardPE,15.448979
fromCurrency,
fiveYearAvgDividendYield,8.98
fiftyTwoWeekLow,4.04
bid,0
tradeable,False
dividendYield,0.0795
bidSize,900
dayHigh,7.74
exchange,NYQ
shortName,"Black Stone Minerals, L.P."
longName,"Black Stone Minerals, L.P."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,BSM
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3569186
uuid,f6806bec-f1b0-390e-be21-436f29389533
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.381
beta3Year,
profitMargins,0.41849998
enterpriseToEbitda,7.566
52WeekChange,
morningStarRiskRating,
forwardEps,0.49
revenueQuarterlyGrowth,
sharesOutstanding,206748992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,3.699
sharesShort,894386
sharesPercentSharesOut,0.0043
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.17602
netIncomeToCommon,110491000
trailingEps,0.535
lastDividendValue,
SandP52WeekChange,
priceToBook,2.0464993
heldPercentInsiders,0.28114
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.15
sharesShortPreviousMonthDate,1601424000
floatShares,173404428
enterpriseValue,2004881152
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.662
dateShortInterest,1604016000
pegRatio,2.01
lastCapGain,
shortPercentOfFloat,0.0057
sharesShortPriorMonth,889937
category,
fiveYearAverageReturn,
regularMarketPrice,7.6
logo_url,https://logo.clearbit.com/blackstoneminerals.com
