key,value
zip,80202
sector,Energy
fullTimeEmployees,195
longBusinessSummary,"Centennial Resource Development, Inc., an independent oil and natural gas company, focuses on the development of unconventional oil and associated liquids-rich natural gas reserves in the United States. The company's assets primarily focus on the Delaware Basin, a sub-basin of the Permian Basin. Its properties consist of acreage blocks primarily in Reeves County in West Texas and Lea County in New Mexico. As of December 31, 2019, it leased or acquired approximately 78,195 net acres; and owned 1,569 net mineral acres in the Delaware Basin. The company was formerly known as Silver Run Acquisition Corporation and changed its name to Centennial Resource Development, Inc. in October 2016. Centennial Resource Development, Inc. was incorporated in 2015 and is headquartered in Denver, Colorado."
city,Denver
phone,720 499 1400
state,CO
country,United States
companyOfficers,[]
website,http://www.cdevinc.com
maxAge,1
address1,1001 Seventeenth Street
industry,Oil & Gas E&P
address2,Suite 1800
previousClose,1.15
regularMarketOpen,1.21
twoHundredDayAverage,0.844036
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.35
navPrice,
averageDailyVolume10Day,10040700
totalAssets,
regularMarketPreviousClose,1.15
fiftyDayAverage,0.7098611
trailingAnnualDividendRate,
open,1.21
averageVolume10days,10040700
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,6.608017
circulatingSupply,
startDate,
regularMarketDayLow,1.2
priceHint,4
currency,USD
regularMarketVolume,12878804
lastMarket,
maxSupply,
openInterest,
marketCap,354807520
volumeAllCurrencies,
strikePrice,
averageVolume,6603366
priceToSalesTrailing12Months,0.5151313
dayLow,1.2
ask,0
ytdReturn,
askSize,3100
volume,12878804
fiftyTwoWeekHigh,5.35
forwardPE,-9.769231
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.23500000000000001
bid,0
tradeable,False
dividendYield,
bidSize,29200
dayHigh,1.35
exchange,NMS
shortName,Centennial Resource Development
longName,"Centennial Resource Development, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CDEV
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_323581924
uuid,c340031d-5288-3df0-bc5e-cf0e881073fb
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.03
beta3Year,
profitMargins,-0.8487100000000001
enterpriseToEbitda,4.374
52WeekChange,
morningStarRiskRating,
forwardEps,-0.13
revenueQuarterlyGrowth,
sharesOutstanding,278340992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,10.085
sharesShort,18062254
sharesPercentSharesOut,0.064899996
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.54695
netIncomeToCommon,-584563968
trailingEps,-2.113
lastDividendValue,
SandP52WeekChange,
priceToBook,0.1259296
heldPercentInsiders,0.04508
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.8
sharesShortPreviousMonthDate,1601424000
floatShares,173148332
enterpriseValue,1398113408
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.01
lastCapGain,
shortPercentOfFloat,0.11570000000000001
sharesShortPriorMonth,17408629
category,
fiveYearAverageReturn,
regularMarketPrice,1.21
logo_url,https://logo.clearbit.com/cdevinc.com
