key,value
zip,77002
sector,Energy
longBusinessSummary,"Camber Energy, Inc., an independent oil and natural gas company, engages in the acquisition, development, and sale of crude oil, natural gas, and natural gas liquids (NGL) in the Cline shale and upper Wolfberry shale in Glasscock County, Texas. As of March 31, 2020, its total estimated proved reserves were 133,442 million barrels of oil equivalent comprising 54,850 barrels of crude oil reserves, 43,955 barrels of NGL reserves, and 207,823 million cubic feet of natural gas reserves. The company was formerly known as Lucas Energy Inc. and changed its name to Camber Energy, Inc. in January 2017. Camber Energy, Inc. was incorporated in 2003 and is based in Houston, Texas."
city,Houston
phone,210 998 4035
state,TX
country,United States
companyOfficers,[]
website,http://www.camber.energy
maxAge,1
address1,1415 Louisiana
industry,Oil & Gas E&P
address2,Suite 3500
previousClose,0.8001
regularMarketOpen,0.9
twoHundredDayAverage,0.94892085
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.2
navPrice,
averageDailyVolume10Day,3520083
totalAssets,
regularMarketPreviousClose,0.8001
fiftyDayAverage,0.81722224
trailingAnnualDividendRate,
open,0.9
averageVolume10days,3520083
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.242187
circulatingSupply,
startDate,
regularMarketDayLow,0.87
priceHint,4
currency,USD
regularMarketVolume,29869614
lastMarket,
maxSupply,
openInterest,
marketCap,29750002
volumeAllCurrencies,
strikePrice,
averageVolume,8293924
priceToSalesTrailing12Months,96.13645
dayLow,0.87
ask,0
ytdReturn,
askSize,1100
volume,29869614
fiftyTwoWeekHigh,4.1
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.46
bid,0
tradeable,False
dividendYield,
bidSize,1300
dayHigh,1.2
exchange,ASE
shortName,"Camber Energy, Inc."
longName,"Camber Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CEI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_321186586
uuid,80005de6-3bec-312c-ab52-918a44bf59fb
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,64.758
beta3Year,
profitMargins,0
enterpriseToEbitda,-4.561
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,25000000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.47100000000000003
sharesShort,1765451
sharesPercentSharesOut,0.07060000000000001
fundFamily,
lastFiscalYearEnd,1585612800
heldPercentInstitutions,0.0148
netIncomeToCommon,-11703120
trailingEps,-2.946
lastDividendValue,
SandP52WeekChange,
priceToBook,2.5265396
heldPercentInsiders,0.10453000000000001
nextFiscalYearEnd,1648684800
mostRecentQuarter,1593475200
shortRatio,0.11
sharesShortPreviousMonthDate,1601424000
floatShares,19679075
enterpriseValue,20039856
threeYearAverageReturn,
lastSplitDate,1572307200
lastSplitFactor,1:50
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.07060000000000001
sharesShortPriorMonth,987285
category,
fiveYearAverageReturn,
regularMarketPrice,0.9
logo_url,https://logo.clearbit.com/camber.energy
