key,value
zip,73102
sector,Energy
fullTimeEmployees,1260
longBusinessSummary,"Continental Resources, Inc. explores for, develops, and produces crude oil and natural gas properties primarily in the north, south, and east regions of the United States. The company sells its crude oil and natural gas production to energy marketing companies, crude oil refining companies, and natural gas gathering and processing companies. As of December 31, 2019, its proved reserves were 1,619 million barrels of crude oil equivalent (MMBoe) with estimated proved developed reserves of 707 MMBoe. Continental Resources, Inc. was founded in 1967 and is based in Oklahoma City, Oklahoma."
city,Oklahoma City
phone,405 234 9000
state,OK
country,United States
companyOfficers,[]
website,http://www.clr.com
maxAge,1
address1,20 North Broadway
fax,405 234 9253
industry,Oil & Gas E&P
previousClose,16.84
regularMarketOpen,17.37
twoHundredDayAverage,15.277554
trailingAnnualDividendYield,0.005938242000000001
payoutRatio,0.0935
volume24Hr,
regularMarketDayHigh,17.86
navPrice,
averageDailyVolume10Day,2926466
totalAssets,
regularMarketPreviousClose,16.84
fiftyDayAverage,13.544723
trailingAnnualDividendRate,0.1
open,17.37
averageVolume10days,2926466
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1580947200
beta,3.519165
circulatingSupply,
startDate,
regularMarketDayLow,17.12
priceHint,2
currency,USD
regularMarketVolume,3401385
lastMarket,
maxSupply,
openInterest,
marketCap,6391594496
volumeAllCurrencies,
strikePrice,
averageVolume,3133864
priceToSalesTrailing12Months,2.3235073
dayLow,17.12
ask,0
ytdReturn,
askSize,1000
volume,3401385
fiftyTwoWeekHigh,36.2
forwardPE,102.94118
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,6.9
bid,0
tradeable,False
dividendYield,
bidSize,1300
dayHigh,17.86
exchange,NYQ
shortName,"Continental Resources, Inc."
longName,"Continental Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CLR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_1534795
uuid,d22bcc36-9c95-3e87-90d2-f12c364f204a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.384
beta3Year,
profitMargins,-0.11284999500000001
enterpriseToEbitda,6.426
52WeekChange,
morningStarRiskRating,
forwardEps,0.17
revenueQuarterlyGrowth,
sharesOutstanding,365233984
fundInceptionDate,
annualReportExpenseRatio,
bookValue,17.022
sharesShort,18786400
sharesPercentSharesOut,0.051500000000000004
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.15734
netIncomeToCommon,-310425984
trailingEps,-0.856
lastDividendValue,
SandP52WeekChange,
priceToBook,1.0280813
heldPercentInsiders,0.82684
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,5.88
sharesShortPreviousMonthDate,1601424000
floatShares,58158320
enterpriseValue,12060977152
threeYearAverageReturn,
lastSplitDate,1410393600
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.89
lastCapGain,
shortPercentOfFloat,0.25220000000000004
sharesShortPriorMonth,18408958
category,
fiveYearAverageReturn,
regularMarketPrice,17.37
logo_url,https://logo.clearbit.com/clr.com
