key,value
zip,15317-6506
sector,Energy
fullTimeEmployees,467
longBusinessSummary,"CNX Resources Corporation, an independent oil and gas company, explores for, develops, and produces natural gas properties primarily in the Appalachian Basin. The company operates through two divisions, Exploration and Production (E&P), and Midstream. The E&P division produces pipeline quality natural gas primarily to gas wholesalers. This division owns rights to extract natural gas in Pennsylvania, West Virginia, and Ohio from approximately 519,000 net Marcellus Shale acres; and 608,000 net acres of Utica Shale, as well as rights to extract natural gas from other shale and shallow oil and gas positions from approximately 981,700 in Illinois, Indiana, New York, Ohio, Pennsylvania, Virginia, and West Virginia. It also owns rights to extract coalbed methane (CBM) in Virginia from approximately 308,000 net CBM acres, as well as 2,122,000 net CBM acres in West Virginia, Pennsylvania, Ohio, Illinois, Indiana, and New Mexico. The Midstream division owns, operates, and develops natural gas gathering and other midstream energy assets in the Marcellus Shale and Utica Shale in Pennsylvania and West Virginia. The company also offers gas gathering and water delivery solutions to third-parties. The company was formerly known as CONSOL Energy Inc. and changed its name to CNX Resources Corporation in November 2017. CNX Resources Corporation was founded in 1860 and is headquartered in Canonsburg, Pennsylvania."
city,Canonsburg
phone,724 485 4000
state,PA
country,United States
companyOfficers,[]
website,http://www.cnx.com
maxAge,1
address1,CNX Center
industry,Oil & Gas E&P
address2,Suite 400 1000 Consol Energy Drive
previousClose,9.69
regularMarketOpen,9.75
twoHundredDayAverage,10.079568
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,10
navPrice,
averageDailyVolume10Day,3562700
totalAssets,
regularMarketPreviousClose,9.69
fiftyDayAverage,9.927777
trailingAnnualDividendRate,
open,9.75
averageVolume10days,3562700
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1485993600
beta,1.832581
circulatingSupply,
startDate,
regularMarketDayLow,9.61
priceHint,2
currency,USD
regularMarketVolume,3012797
lastMarket,
maxSupply,
openInterest,
marketCap,2243044608
volumeAllCurrencies,
strikePrice,
averageVolume,4668020
priceToSalesTrailing12Months,1.9993321
dayLow,9.61
ask,0
ytdReturn,
askSize,1000
volume,3012797
fiftyTwoWeekHigh,14.19
forwardPE,10.62766
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,4.26
bid,0
tradeable,False
dividendYield,
bidSize,1300
dayHigh,10
exchange,NYQ
shortName,CNX Resources Corporation
longName,CNX Resources Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CNX
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_399117
uuid,7186ec5e-b06c-33fd-a6df-659f15bf636e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.252
beta3Year,
profitMargins,-0.84762
enterpriseToEbitda,11.066
52WeekChange,
morningStarRiskRating,
forwardEps,0.9400000000000001
revenueQuarterlyGrowth,
sharesOutstanding,224528992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,19.018
sharesShort,19027908
sharesPercentSharesOut,0.0847
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.92193
netIncomeToCommon,-950942016
trailingEps,-4.931
lastDividendValue,
SandP52WeekChange,
priceToBook,0.5252918
heldPercentInsiders,0.021730000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.15
sharesShortPreviousMonthDate,1601424000
floatShares,221854448
enterpriseValue,4770401792
threeYearAverageReturn,
lastSplitDate,1511913600
lastSplitFactor,6:5
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.34
lastCapGain,
shortPercentOfFloat,0.12840000000000001
sharesShortPriorMonth,25159901
category,
fiveYearAverageReturn,
regularMarketPrice,9.75
logo_url,https://logo.clearbit.com/cnx.com
