key,value
zip,77024
sector,Energy
fullTimeEmployees,547
longBusinessSummary,"Cabot Oil & Gas Corporation, an independent oil and gas company, explores for, exploits, develops, produces, and markets oil and gas properties in the United States. It primarily focuses on the Marcellus Shale with approximately 173,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania. The company sells its natural gas to industrial customers, local distribution companies, gas marketers, and power generation facilities through gathering systems and pipelines. As of December 31, 2019, it had proved reserves of approximately 12,903 billion cubic feet of gas; and 22 thousand barrels of oil or other liquid hydrocarbons. Cabot Oil & Gas Corporation was incorporated in 1989 and is headquartered in Houston, Texas."
city,Houston
phone,281 589 4600
state,TX
country,United States
companyOfficers,[]
website,http://www.cabotog.com
maxAge,1
address1,Three Memorial City Plaza
industry,Oil & Gas E&P
address2,Suite 1400 840 Gessner Road
previousClose,17.63
regularMarketOpen,17.94
twoHundredDayAverage,18.625898
trailingAnnualDividendYield,0.022688601000000003
payoutRatio,0.7547
volume24Hr,
regularMarketDayHigh,18.135
navPrice,
averageDailyVolume10Day,5486050
totalAssets,
regularMarketPreviousClose,17.63
fiftyDayAverage,18.04
trailingAnnualDividendRate,0.4
open,17.94
averageVolume10days,5486050
expireDate,
yield,
algorithm,
dividendRate,0.4
exDividendDate,1604966400
beta,0.21645899999999998
circulatingSupply,
startDate,
regularMarketDayLow,17.63
priceHint,2
currency,USD
trailingPE,33.89098
regularMarketVolume,4811611
lastMarket,
maxSupply,
openInterest,
marketCap,7186397696
volumeAllCurrencies,
strikePrice,
averageVolume,4971567
priceToSalesTrailing12Months,4.9371066
dayLow,17.63
ask,0
ytdReturn,
askSize,800
volume,4811611
fiftyTwoWeekHigh,22.67
forwardPE,9.390626
fromCurrency,
fiveYearAvgDividendYield,1.03
fiftyTwoWeekLow,13.06
bid,0
tradeable,False
dividendYield,0.0227
bidSize,1300
dayHigh,18.135
exchange,NYQ
shortName,Cabot Oil & Gas Corporation
longName,Cabot Oil & Gas Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,COG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_258181
uuid,3d71f062-cb40-3b71-b0d8-04a1f489e1b0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.649
beta3Year,
profitMargins,0.14857
enterpriseToEbitda,11.941
52WeekChange,
morningStarRiskRating,
forwardEps,1.92
revenueQuarterlyGrowth,
sharesOutstanding,398580000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,5.315
sharesShort,18310802
sharesPercentSharesOut,0.045900002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,1.00677
netIncomeToCommon,216263008
trailingEps,0.532
lastDividendValue,
SandP52WeekChange,
priceToBook,3.392286
heldPercentInsiders,0.020110000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.8200000000000003
sharesShortPreviousMonthDate,1601424000
floatShares,390604298
enterpriseValue,8223126528
threeYearAverageReturn,
lastSplitDate,1376524800
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-18.18
lastCapGain,
shortPercentOfFloat,0.0531
sharesShortPriorMonth,16637733
category,
fiveYearAverageReturn,
regularMarketPrice,17.94
logo_url,https://logo.clearbit.com/cabotog.com
