key,value
zip,92663
sector,Energy
fullTimeEmployees,3
longBusinessSummary,"Citadel Exploration, Inc., an energy company, engages in the exploration and development of oil and natural gas properties in the San Joaquin Basin of California. It holds a 100% working interest in the Kern Bluff Oil Field covering an area of approximately 1,100 acres in Kern County, California. The company was founded in 2006 and is based in Newport Beach, California."
city,Newport Beach
phone,949-612-8040
state,CA
country,United States
companyOfficers,[]
website,http://www.citadelexploration.com
maxAge,1
address1,417 31st Street
industry,Oil & Gas E&P
address2,Unit A
previousClose,0.019
regularMarketOpen,0.01615
twoHundredDayAverage,0.024100719000000003
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.019
navPrice,
averageDailyVolume10Day,0
totalAssets,
regularMarketPreviousClose,0.019
fiftyDayAverage,0.01638889
trailingAnnualDividendRate,
open,0.01615
averageVolume10days,0
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.100338
circulatingSupply,
startDate,
regularMarketDayLow,0.019
priceHint,4
currency,USD
regularMarketVolume,2
lastMarket,
maxSupply,
openInterest,
marketCap,930165
volumeAllCurrencies,
strikePrice,
averageVolume,3918
priceToSalesTrailing12Months,2.22682
dayLow,0.019
ask,0
ytdReturn,
askSize,0
volume,2
fiftyTwoWeekHigh,0.11
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.01
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.019
exchange,PNK
shortName,CITADEL EXPLORATION INC
longName,"Citadel Exploration, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,COIL
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_127877391
uuid,e5dfa4dc-f68f-3fb7-a2de-197604583bb0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,28.287
beta3Year,
profitMargins,0
enterpriseToEbitda,-7.7059999999999995
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,48956200
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.194
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0
netIncomeToCommon,-4335375
trailingEps,-0.091
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.48769
nextFiscalYearEnd,1609372800
mostRecentQuarter,1569801600
shortRatio,
sharesShortPreviousMonthDate,
floatShares,31973752
enterpriseValue,11815555
threeYearAverageReturn,
lastSplitDate,1300406400
lastSplitFactor,12:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.01615
logo_url,https://logo.clearbit.com/citadelexploration.com
