key,value
zip,77079-2703
sector,Energy
fullTimeEmployees,9800
longBusinessSummary,"ConocoPhillips explores for, produces, transports, and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG), and natural gas liquids worldwide. The company primarily engages in the conventional and tight oil reservoirs, shale gas, heavy oil, LNG, oil sands, and other production operations. Its portfolio includes unconventional plays in North America; conventional assets in North America, Europe, Asia, and Australia; various LNG developments; oil sands assets in Canada; and an inventory of conventional and unconventional exploration prospects. The company was founded in 1917 and is headquartered in Houston, Texas."
city,Houston
phone,281 293 1000
state,TX
country,United States
companyOfficers,[]
website,http://www.conocophillips.com
maxAge,1
address1,925 North Eldridge Parkway
industry,Oil & Gas E&P
previousClose,42.71
regularMarketOpen,44.08
twoHundredDayAverage,38.24101
trailingAnnualDividendYield,0.039217982000000005
payoutRatio,
volume24Hr,
regularMarketDayHigh,45.359
navPrice,
averageDailyVolume10Day,15945566
totalAssets,
regularMarketPreviousClose,42.71
fiftyDayAverage,33.74972
trailingAnnualDividendRate,1.675
open,44.08
averageVolume10days,15945566
expireDate,
yield,
algorithm,
dividendRate,1.72
exDividendDate,1602806400
beta,1.709131
circulatingSupply,
startDate,
regularMarketDayLow,43.78
priceHint,2
currency,USD
regularMarketVolume,15439213
lastMarket,
maxSupply,
openInterest,
marketCap,47430324224
volumeAllCurrencies,
strikePrice,
averageVolume,10675649
priceToSalesTrailing12Months,2.2086298
dayLow,43.78
ask,0
ytdReturn,
askSize,1300
volume,15439213
fiftyTwoWeekHigh,67.13
forwardPE,59.213333
fromCurrency,
fiveYearAvgDividendYield,2.92
fiftyTwoWeekLow,20.84
bid,0
tradeable,False
dividendYield,0.0403
bidSize,1200
dayHigh,45.359
exchange,NYQ
shortName,ConocoPhillips
longName,ConocoPhillips
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,COP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_296527
uuid,97afc5c1-9a02-314c-bde1-c064281437c5
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.509
beta3Year,
profitMargins,-0.0563
enterpriseToEbitda,8.515
52WeekChange,
morningStarRiskRating,
forwardEps,0.75
revenueQuarterlyGrowth,
sharesOutstanding,1068009984
fundInceptionDate,
annualReportExpenseRatio,
bookValue,28.696
sharesShort,25825729
sharesPercentSharesOut,0.024200000000000003
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.76072997
netIncomeToCommon,-1208999936
trailingEps,-1.118
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5476025
heldPercentInsiders,0.0004
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.29
sharesShortPreviousMonthDate,1601424000
floatShares,1071937087
enterpriseValue,53872795648
threeYearAverageReturn,
lastSplitDate,1335830400
lastSplitFactor,1311791:1000000
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,5.33
lastCapGain,
shortPercentOfFloat,0.024200000000000003
sharesShortPriorMonth,10863735
category,
fiveYearAverageReturn,
regularMarketPrice,44.08
logo_url,https://logo.clearbit.com/conocophillips.com
