key,value
zip,77042
sector,Energy
fullTimeEmployees,475
longBusinessSummary,"Callon Petroleum Company, an independent oil and natural gas company, focuses on the acquisition, exploration, and development of oil and natural gas properties in Permian Basin in West Texas. As of December 31, 2019, its estimated net proved reserves totaled approximately 540 million barrel of oil equivalent, including 346.4 MMBbls oil, 757.1 Bcf of natural gas, and 67.5 MMBbls of natural gas liquids. The company was founded in 1950 and is headquartered in Houston, Texas."
city,Houston
phone,281 589 5200
state,TX
country,United States
companyOfficers,[]
website,http://www.callon.com
maxAge,1
address1,One Briarlake Plaza
industry,Oil & Gas E&P
address2,2000 W. Sam Houston Parkway South Suite 2000
previousClose,9.92
regularMarketOpen,10.67
twoHundredDayAverage,8.567194
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,10.92
navPrice,
averageDailyVolume10Day,5617566
totalAssets,
regularMarketPreviousClose,9.92
fiftyDayAverage,5.8058333
trailingAnnualDividendRate,
open,10.67
averageVolume10days,5617566
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,898819200
beta,2.880496
circulatingSupply,
startDate,
regularMarketDayLow,9.59
priceHint,2
currency,USD
regularMarketVolume,8332400
lastMarket,
maxSupply,
openInterest,
marketCap,402694848
volumeAllCurrencies,
strikePrice,
averageVolume,3118198
priceToSalesTrailing12Months,0.4515635
dayLow,9.59
ask,0
ytdReturn,
askSize,900
volume,8332400
fiftyTwoWeekHigh,49.8
forwardPE,3.38796
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,3.8
bid,0
tradeable,False
dividendYield,
bidSize,1300
dayHigh,10.92
exchange,NYQ
shortName,Callon Petroleum Company
longName,Callon Petroleum Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CPE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_336027
uuid,39ef7bcd-6d49-3071-afd8-be0db3171931
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.063
beta3Year,
profitMargins,-2.30112
enterpriseToEbitda,5.607
52WeekChange,
morningStarRiskRating,
forwardEps,2.99
revenueQuarterlyGrowth,
sharesOutstanding,39752700
fundInceptionDate,
annualReportExpenseRatio,
bookValue,30.292
sharesShort,10278854
sharesPercentSharesOut,0.2586
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.41632998
netIncomeToCommon,-2052093056
trailingEps,-57.018
lastDividendValue,
SandP52WeekChange,
priceToBook,0.33441174
heldPercentInsiders,0.027790000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.04
sharesShortPreviousMonthDate,1601424000
floatShares,38644368
enterpriseValue,3623347456
threeYearAverageReturn,
lastSplitDate,1597017600
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.12
lastCapGain,
shortPercentOfFloat,0.3623
sharesShortPriorMonth,9753533
category,
fiveYearAverageReturn,
regularMarketPrice,10.67
logo_url,https://logo.clearbit.com/callon.com
