key,value
zip,91355
sector,Energy
fullTimeEmployees,1100
longBusinessSummary,"California Resources Corporation operates as an oil and natural gas exploration and production company in the State of California. The company sells crude oil, natural gas, and natural gas liquids to marketers, California refineries, and other purchasers that have access to transportation and storage facilities. It holds interests in approximately 2.2 million net acres of mineral acreage. As of December 31, 2019, the company had net proved reserves of 644 million barrels of oil equivalent. It also engages in the generation and sale of electricity to the grid and utility customers. The company was founded in 2014 and is based in Santa Clarita, California."
city,Santa Clarita
phone,888 848 4754
state,CA
country,United States
companyOfficers,[]
website,http://www.crc.com
maxAge,1
address1,27200 Tourney Road
industry,Oil & Gas E&P
address2,Suite 200
previousClose,16.05
regularMarketOpen,16.1
twoHundredDayAverage,13.826316
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,18.45
navPrice,
averageDailyVolume10Day,236966
totalAssets,
regularMarketPreviousClose,16.05
fiftyDayAverage,13.826316
trailingAnnualDividendRate,0
open,16.1
averageVolume10days,236966
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,15.66
priceHint,2
currency,USD
regularMarketVolume,195205
lastMarket,
maxSupply,
openInterest,
marketCap,1527250048
volumeAllCurrencies,
strikePrice,
averageVolume,278173
priceToSalesTrailing12Months,0.8386876
dayLow,15.66
ask,0
ytdReturn,
askSize,1000
volume,195205
fiftyTwoWeekHigh,19.95
forwardPE,-2.7481258
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,10.99
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,18.45
exchange,NYQ
shortName,California Resources Corporatio
longName,California Resources Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CRC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_263774786
uuid,1a4b5d84-a032-3c4a-b3bd-669c608a34c3
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.51
beta3Year,
profitMargins,-1.18781
enterpriseToEbitda,4.6850000000000005
52WeekChange,
morningStarRiskRating,
forwardEps,-6.67
revenueQuarterlyGrowth,
sharesOutstanding,0
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-47.295
sharesShort,56114
sharesPercentSharesOut,0.0007
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.66805
netIncomeToCommon,-2024000000
trailingEps,-40.993
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.07977000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.19
sharesShortPreviousMonthDate,
floatShares,39940141
enterpriseValue,2750281472
threeYearAverageReturn,
lastSplitDate,1464739200
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,16.1
logo_url,https://logo.clearbit.com/crc.com
