key,value
zip,75034
sector,Energy
fullTimeEmployees,207
longBusinessSummary,"Comstock Resources, Inc., an independent energy company, engage in the acquisition, exploration for, development, and production of oil and natural gas properties, primarily in Texas, Louisiana, and North Dakota. As of December 31, 2019, the company had 5.3 trillion cubic feet of natural gas equivalent and 16.7 million barrels of oil equivalent of proved reserves. It also owns an interest in 2,800 producing oil and natural gas wells. The company was founded in 1983 and is headquartered in Frisco, Texas."
city,Frisco
phone,972 668 8800
state,TX
country,United States
companyOfficers,[]
website,http://www.crkfrisco.com
maxAge,1
address1,Comstock Tower
fax,972 668 8812
industry,Oil & Gas E&P
address2,Suite 500 5300 Town and Country Boulevard
previousClose,4.68
regularMarketOpen,4.8100000000000005
twoHundredDayAverage,5.233813
trailingAnnualDividendYield,0.026709402
payoutRatio,0
volume24Hr,
regularMarketDayHigh,5.15
navPrice,
averageDailyVolume10Day,3105916
totalAssets,
regularMarketPreviousClose,4.68
fiftyDayAverage,5.189722
trailingAnnualDividendRate,0.125
open,4.8100000000000005
averageVolume10days,3105916
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1417564800
beta,2.21446
circulatingSupply,
startDate,
regularMarketDayLow,4.7702
priceHint,2
currency,USD
regularMarketVolume,3863034
lastMarket,
maxSupply,
openInterest,
marketCap,1189995392
volumeAllCurrencies,
strikePrice,
averageVolume,2685783
priceToSalesTrailing12Months,1.410798
dayLow,4.7702
ask,0
ytdReturn,
askSize,2900
volume,3863034
fiftyTwoWeekHigh,8.5
forwardPE,7.1111107
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,4.05
bid,0
tradeable,False
dividendYield,
bidSize,4000
dayHigh,5.15
exchange,NYQ
shortName,"Comstock Resources, Inc."
longName,"Comstock Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CRK
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_560592817
uuid,3112f5b7-6f62-30ef-a00b-029aa30f6fea
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.444
beta3Year,
profitMargins,-0.09392
enterpriseToEbitda,6.389
52WeekChange,
morningStarRiskRating,
forwardEps,0.72
revenueQuarterlyGrowth,
sharesOutstanding,232420992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,5.11
sharesShort,6684922
sharesPercentSharesOut,0.028800001000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.23220000000000002
netIncomeToCommon,-120322000
trailingEps,-0.589
lastDividendValue,
SandP52WeekChange,
priceToBook,1.0019569
heldPercentInsiders,0.6924800000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.81
sharesShortPreviousMonthDate,1601424000
floatShares,71704321
enterpriseValue,3748168960
threeYearAverageReturn,
lastSplitDate,1470009600
lastSplitFactor,1:5
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,2.56
lastCapGain,
shortPercentOfFloat,0.1075
sharesShortPriorMonth,6521283
category,
fiveYearAverageReturn,
regularMarketPrice,4.8100000000000005
logo_url,https://logo.clearbit.com/crkfrisco.com
