key,value
zip,79701
sector,Energy
fullTimeEmployees,1453
longBusinessSummary,"Concho Resources Inc., an independent oil and natural gas company, engages in the acquisition, development, and exploration of oil and natural gas properties in the United States. The company's principal operating areas are located in the Permian Basin of West Texas and southeast New Mexico. As of December 31, 2019, its estimated proved reserves totaled 1.0 billion barrels of oil equivalent. The company was founded in 2006 and is headquartered in Midland, Texas."
city,Midland
phone,432 683 7443
state,TX
country,United States
companyOfficers,[]
website,http://www.concho.com
maxAge,1
address1,One Concho Center
fax,432 683 7441
industry,Oil & Gas E&P
address2,600 West Illinois Avenue
previousClose,61.97
regularMarketOpen,64.04
twoHundredDayAverage,51.18561
trailingAnnualDividendYield,0.011699209
payoutRatio,
volume24Hr,
regularMarketDayHigh,65.85
navPrice,
averageDailyVolume10Day,3151500
totalAssets,
regularMarketPreviousClose,61.97
fiftyDayAverage,47.65917
trailingAnnualDividendRate,0.725
open,64.04
averageVolume10days,3151500
expireDate,
yield,
algorithm,
dividendRate,0.8
exDividendDate,1604534400
beta,1.838218
circulatingSupply,
startDate,
regularMarketDayLow,63.66
priceHint,2
currency,USD
regularMarketVolume,4046844
lastMarket,
maxSupply,
openInterest,
marketCap,12667560960
volumeAllCurrencies,
strikePrice,
averageVolume,3007115
priceToSalesTrailing12Months,3.8857548
dayLow,63.66
ask,0
ytdReturn,
askSize,1100
volume,4046844
fiftyTwoWeekHigh,93.34
forwardPE,16.213568
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,33.13
bid,0
tradeable,False
dividendYield,0.013900000000000001
bidSize,1100
dayHigh,65.85
exchange,NYQ
shortName,Concho Resources Inc.
longName,Concho Resources Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,CXO
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_26906
uuid,6fea11e4-41c8-3bfd-9c27-b1d145b43e8f
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.757
beta3Year,
profitMargins,0
enterpriseToEbitda,5.708
52WeekChange,
morningStarRiskRating,
forwardEps,3.98
revenueQuarterlyGrowth,
sharesOutstanding,196304992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,40.032
sharesShort,5286642
sharesPercentSharesOut,0.0269
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9301300000000001
netIncomeToCommon,-10245000192
trailingEps,-52.267
lastDividendValue,
SandP52WeekChange,
priceToBook,1.6119603
heldPercentInsiders,0.00877
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.35
sharesShortPreviousMonthDate,1601424000
floatShares,192252639
enterpriseValue,15508206592
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.45
lastCapGain,
shortPercentOfFloat,0.0431
sharesShortPriorMonth,6055895
category,
fiveYearAverageReturn,
regularMarketPrice,64.04
logo_url,https://logo.clearbit.com/concho.com
