key,value
zip,99212
sector,Energy
fullTimeEmployees,6
longBusinessSummary,"Daybreak Oil and Gas, Inc. operates as an independent crude oil and natural gas exploration, development, and production company in the United States. It holds interest in the East Slopes project located in the southeastern part of the San Joaquin Basin near Bakersfield, California. The company also holds 70% working interest in the Michigan Basin project covering 1,400 acres area. As of February 28, 2020, it had estimated proved reserves of 495,977 barrels of oil equivalent. The company was formerly known as Daybreak Mines, Inc. and changed its name to Daybreak Oil and Gas, Inc. in October 2005. Daybreak Oil and Gas, Inc. was founded in 1955 and is headquartered in Spokane Valley, Washington."
city,Spokane Valley
phone,509 232 7674
state,WA
country,United States
companyOfficers,[]
website,http://daybreakoilandgas.com
maxAge,1
address1,1101 North Argonne Road
industry,Oil & Gas E&P
address2,Suite A 211
previousClose,0.0115
regularMarketOpen,0.008
twoHundredDayAverage,0.008607194
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.012
navPrice,
averageDailyVolume10Day,61075
totalAssets,
regularMarketPreviousClose,0.0115
fiftyDayAverage,0.009654445000000001
trailingAnnualDividendRate,
open,0.008
averageVolume10days,61075
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,7.520293
circulatingSupply,
startDate,
regularMarketDayLow,0.008
priceHint,4
currency,USD
regularMarketVolume,52000
lastMarket,
maxSupply,
openInterest,
marketCap,725892
volumeAllCurrencies,
strikePrice,
averageVolume,58245
priceToSalesTrailing12Months,1.5064313
dayLow,0.008
ask,0
ytdReturn,
askSize,0
volume,52000
fiftyTwoWeekHigh,0.022
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.005
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.012
exchange,PNK
shortName,DAYBREAK OIL & GAS INC
longName,"Daybreak Oil and Gas, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,DBRM
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3109265
uuid,a7fa00a5-795d-3acb-a62d-c07219f68148
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,7.783
beta3Year,
profitMargins,-1.4408901
enterpriseToEbitda,-12.122
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,60491100
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.082
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1582934400
heldPercentInstitutions,0
netIncomeToCommon,-822371
trailingEps,-0.018000000000000002
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.1519
nextFiscalYearEnd,1646092800
mostRecentQuarter,1598832000
shortRatio,
sharesShortPreviousMonthDate,
floatShares,51302521
enterpriseValue,3750106
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.008
logo_url,https://logo.clearbit.com/daybreakoilandgas.com
