key,value
zip,75219
sector,Energy
longBusinessSummary,"Dorchester Minerals, L.P. engages in the acquisition, ownership, and administration of producing and nonproducing natural gas and crude oil royalty, net profits, and leasehold interests in the United States. Its royalty properties consist of producing and nonproducing mineral, royalty, overriding royalty, net profits, and leasehold interests located in 592 counties and parishes in 27 states; and net profits interests represent net profits overriding royalty interests in various properties owned by the operating partnership. Dorchester Minerals Management LP serves as the general partner of Dorchester Minerals, L.P. The company was founded in 2003 and is based in Dallas, Texas."
city,Dallas
phone,214-559-0300
state,TX
country,United States
companyOfficers,[]
website,http://www.dmlp.net
maxAge,1
address1,3838 Oak Lawn Avenue
industry,Oil & Gas E&P
address2,Suite 300
previousClose,10.59
regularMarketOpen,10.68
twoHundredDayAverage,11.105899
trailingAnnualDividendYield,0.13135034
payoutRatio,2.0058
volume24Hr,
regularMarketDayHigh,11.5
navPrice,
averageDailyVolume10Day,142650
totalAssets,
regularMarketPreviousClose,10.59
fiftyDayAverage,10.391945
trailingAnnualDividendRate,1.391
open,10.68
averageVolume10days,142650
expireDate,
yield,
algorithm,
dividendRate,1.3900000000000001
exDividendDate,1604016000
beta,1.5050729999999999
circulatingSupply,
startDate,
regularMarketDayLow,10.32
priceHint,2
currency,USD
trailingPE,14.730769
regularMarketVolume,206907
lastMarket,
maxSupply,
openInterest,
marketCap,398470880
volumeAllCurrencies,
strikePrice,
averageVolume,76163
priceToSalesTrailing12Months,7.756577
dayLow,10.32
ask,0
ytdReturn,
askSize,1100
volume,206907
fiftyTwoWeekHigh,21.46
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,9.18
fiftyTwoWeekLow,8.52
bid,0
tradeable,False
dividendYield,0.13140000000000002
bidSize,1000
dayHigh,11.5
exchange,NMS
shortName,"Dorchester Minerals, L.P."
longName,"Dorchester Minerals, L.P."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,DMLP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3589891
uuid,5321ce1b-e314-3684-95e5-b36bc8ef68d4
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.916
beta3Year,
profitMargins,0.5262800000000001
enterpriseToEbitda,8.71
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,34679800
fundInceptionDate,
annualReportExpenseRatio,
bookValue,2.573
sharesShort,84821
sharesPercentSharesOut,0.0023999999
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.16309
netIncomeToCommon,27036000
trailingEps,0.78
lastDividendValue,
SandP52WeekChange,
priceToBook,4.4656043
heldPercentInsiders,0.09035000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.34
sharesShortPreviousMonthDate,1601424000
floatShares,31881463
enterpriseValue,355284800
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.562
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0027
sharesShortPriorMonth,78353
category,
fiveYearAverageReturn,
regularMarketPrice,10.68
logo_url,https://logo.clearbit.com/dmlp.net
