key,value
zip,77042
sector,Energy
fullTimeEmployees,111
longBusinessSummary,"VAALCO Energy, Inc., an independent energy company, acquires, explores for, develops, and produces crude oil and natural gas. The company holds Etame production sharing contract related to the Etame Marin block located offshore in the Republic of Gabon, West Africa. It also owns interests in an undeveloped block offshore Equatorial Guinea, West Africa. VAALCO Energy, Inc. was founded in 1985 and is headquartered in Houston, Texas."
city,Houston
phone,713 623 0801
state,TX
country,United States
companyOfficers,[]
website,http://www.vaalco.com
maxAge,1
address1,9800 Richmond Avenue
fax,713 623 0982
industry,Oil & Gas E&P
address2,Suite 700
previousClose,1.67
regularMarketOpen,1.6400000000000001
twoHundredDayAverage,1.0962877
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.6800000000000002
navPrice,
averageDailyVolume10Day,4111866
totalAssets,
regularMarketPreviousClose,1.67
fiftyDayAverage,1.0463054999999999
trailingAnnualDividendRate,
open,1.6400000000000001
averageVolume10days,4111866
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1248220800
beta,1.961668
circulatingSupply,
startDate,
regularMarketDayLow,1.53
priceHint,4
currency,USD
regularMarketVolume,694597
lastMarket,
maxSupply,
openInterest,
marketCap,93653440
volumeAllCurrencies,
strikePrice,
averageVolume,622643
priceToSalesTrailing12Months,1.2235562
dayLow,1.53
ask,0
ytdReturn,
askSize,900
volume,694597
fiftyTwoWeekHigh,2.6
forwardPE,3.0754719
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.7000000000000001
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,1.6800000000000002
exchange,NYQ
shortName,"VAALCO Energy, Inc."
longName,"VAALCO Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,EGY
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_416628
uuid,620cbb2d-3bf1-3911-9b88-51a5d2e6cc39
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.041
beta3Year,
profitMargins,-0.5692600000000001
enterpriseToEbitda,2.572
52WeekChange,
morningStarRiskRating,
forwardEps,0.53
revenueQuarterlyGrowth,
sharesOutstanding,57456100
fundInceptionDate,
annualReportExpenseRatio,
bookValue,1.126
sharesShort,110156
sharesPercentSharesOut,0.0019
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.44532000000000005
netIncomeToCommon,-43500000
trailingEps,-0.754
lastDividendValue,
SandP52WeekChange,
priceToBook,1.447602
heldPercentInsiders,0.07914
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.29
sharesShortPreviousMonthDate,1601424000
floatShares,49917894
enterpriseValue,79654752
threeYearAverageReturn,
lastSplitDate,1045008000
lastSplitFactor,1:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0019
sharesShortPriorMonth,78134
category,
fiveYearAverageReturn,
regularMarketPrice,1.6400000000000001
logo_url,https://logo.clearbit.com/vaalco.com
