key,value
zip,77002
sector,Energy
fullTimeEmployees,2900
longBusinessSummary,"EOG Resources, Inc., together with its subsidiaries, explores for, develops, produces, and markets crude oil, and natural gas and natural gas liquids. The company's principal producing areas are located in New Mexico, North Dakota, Texas, and Wyoming in the United States; and the Republic of Trinidad and Tobago, the People's Republic of China, and Canada. As of December 31, 2019, it had total estimated net proved reserves of 3,329 million barrels of oil equivalent, including 1,694 million barrels (MMBbl) crude oil and condensate reserves; 740 MMBbl of natural gas liquid reserves; and 5,370 billion cubic feet of natural gas reserves. The company was formerly known as Enron Oil & Gas Company. EOG Resources, Inc. was founded in 1985 and is headquartered in Houston, Texas."
city,Houston
phone,713 651 7000
state,TX
country,United States
companyOfficers,[]
website,http://www.eogresources.com
maxAge,1
address1,1111 Bagby Street
fax,713 651 6995
industry,Oil & Gas E&P
address2,Sky Lobby 2
previousClose,50.38
regularMarketOpen,52.14
twoHundredDayAverage,45.079857
trailingAnnualDividendYield,0.028046843000000002
payoutRatio,
volume24Hr,
regularMarketDayHigh,54.7
navPrice,
averageDailyVolume10Day,5252383
totalAssets,
regularMarketPreviousClose,50.38
fiftyDayAverage,38.54889
trailingAnnualDividendRate,1.413
open,52.14
averageVolume10days,5252383
expireDate,
yield,
algorithm,
dividendRate,1.5
exDividendDate,1602720000
beta,1.944757
circulatingSupply,
startDate,
regularMarketDayLow,51.83
priceHint,2
currency,USD
regularMarketVolume,10367136
lastMarket,
maxSupply,
openInterest,
marketCap,31747428352
volumeAllCurrencies,
strikePrice,
averageVolume,5436972
priceToSalesTrailing12Months,2.810743
dayLow,51.83
ask,0
ytdReturn,
askSize,1300
volume,10367136
fiftyTwoWeekHigh,89.54
forwardPE,26.67647
fromCurrency,
fiveYearAvgDividendYield,1.13
fiftyTwoWeekLow,27
bid,0
tradeable,False
dividendYield,0.0298
bidSize,800
dayHigh,54.7
exchange,NYQ
shortName,"EOG Resources, Inc."
longName,"EOG Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,EOG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_269660
uuid,d1bb52dc-b58a-35ed-be21-e5c7f866adf9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.86
beta3Year,
profitMargins,-0.02705
enterpriseToEbitda,5.952
52WeekChange,
morningStarRiskRating,
forwardEps,2.04
revenueQuarterlyGrowth,
sharesOutstanding,583377984
fundInceptionDate,
annualReportExpenseRatio,
bookValue,34.539
sharesShort,13377472
sharesPercentSharesOut,0.0229
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9003200000000001
netIncomeToCommon,-305516992
trailingEps,-0.529
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5756100000000002
heldPercentInsiders,0.00354
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.26
sharesShortPreviousMonthDate,1601424000
floatShares,580496555
enterpriseValue,32306116608
threeYearAverageReturn,
lastSplitDate,1396310400
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-12.68
lastCapGain,
shortPercentOfFloat,0.0256
sharesShortPriorMonth,9006944
category,
fiveYearAverageReturn,
regularMarketPrice,52.14
logo_url,https://logo.clearbit.com/eogresources.com
