key,value
zip,77079
sector,Energy
fullTimeEmployees,4
longBusinessSummary,"Evolution Petroleum Corporation, an oil and gas company, engages in the development, production, ownership, and management of oil and gas properties in the United States. The company primarily holds interests in a CO2 enhanced oil recovery project in Louisiana's Delhi field. Its Delhi Holt-Bryant Unit covers an area of 13,636 acres located in Northeast Louisiana. The company was founded in 2003 and is based in Houston, Texas."
city,Houston
phone,713 935 0122
state,TX
country,United States
companyOfficers,[]
website,http://www.evolutionpetroleum.com
maxAge,1
address1,1155 Dairy Ashford Road
fax,713 935 0199
industry,Oil & Gas E&P
address2,Suite 425
previousClose,2.81
regularMarketOpen,2.81
twoHundredDayAverage,2.582446
trailingAnnualDividendYield,0.08896797000000001
payoutRatio,
volume24Hr,
regularMarketDayHigh,2.89
navPrice,
averageDailyVolume10Day,150983
totalAssets,
regularMarketPreviousClose,2.81
fiftyDayAverage,2.318889
trailingAnnualDividendRate,0.25
open,2.81
averageVolume10days,150983
expireDate,
yield,
algorithm,
dividendRate,0.1
exDividendDate,1607904000
beta,1.4560309999999999
circulatingSupply,
startDate,
regularMarketDayLow,2.74
priceHint,4
currency,USD
regularMarketVolume,223525
lastMarket,
maxSupply,
openInterest,
marketCap,94906944
volumeAllCurrencies,
strikePrice,
averageVolume,117124
priceToSalesTrailing12Months,3.6443162
dayLow,2.74
ask,0
ytdReturn,
askSize,900
volume,223525
fiftyTwoWeekHigh,5.95
forwardPE,20.57143
fromCurrency,
fiveYearAvgDividendYield,5.45
fiftyTwoWeekLow,2.09
bid,0
tradeable,False
dividendYield,0.0385
bidSize,800
dayHigh,2.89
exchange,ASE
shortName,Evolution Petroleum Corporation
longName,Evolution Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,EPM
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_355553
uuid,de895d1d-df74-3000-b80d-d7f2ab45c9a0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.773
beta3Year,
profitMargins,-0.15325000000000003
enterpriseToEbitda,11.445
52WeekChange,
morningStarRiskRating,
forwardEps,0.14
revenueQuarterlyGrowth,
sharesOutstanding,32953800
fundInceptionDate,
annualReportExpenseRatio,
bookValue,2.031
sharesShort,331248
sharesPercentSharesOut,0.010100000000000001
fundFamily,
lastFiscalYearEnd,1593475200
heldPercentInstitutions,0.74294
netIncomeToCommon,-3990896
trailingEps,-0.121
lastDividendValue,
SandP52WeekChange,
priceToBook,1.4180207999999999
heldPercentInsiders,0.08218
nextFiscalYearEnd,1656547200
mostRecentQuarter,1601424000
shortRatio,3.25
sharesShortPreviousMonthDate,1601424000
floatShares,25126332
enterpriseValue,72228456
threeYearAverageReturn,
lastSplitDate,1075939200
lastSplitFactor,1:40
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0125
sharesShortPriorMonth,305588
category,
fiveYearAverageReturn,
regularMarketPrice,2.81
logo_url,https://logo.clearbit.com/evolutionpetroleum.com
