key,value
zip,15222
sector,Energy
fullTimeEmployees,647
longBusinessSummary,"EQT Corporation operates as a natural gas production company in the United States. The company produces natural gas, natural gas liquids (NGLs), and crude oil. As of December 31, 2019, it had 17.5 trillion cubic feet of proved natural gas, NGLs, and crude oil reserves across approximately 1.3 million gross acres. The company was founded in 1925 and is headquartered in Pittsburgh, Pennsylvania."
city,Pittsburgh
phone,412-553-5700
state,PA
country,United States
companyOfficers,[]
website,http://www.eqt.com
maxAge,1
address1,EQT Plaza
fax,412-553-5732
industry,Oil & Gas E&P
address2,Suite 1700 625 Liberty Avenue
previousClose,15.41
regularMarketOpen,15.75
twoHundredDayAverage,14.356907
trailingAnnualDividendYield,0.0019467878
payoutRatio,
volume24Hr,
regularMarketDayHigh,16
navPrice,
averageDailyVolume10Day,5337150
totalAssets,
regularMarketPreviousClose,15.41
fiftyDayAverage,14.836389
trailingAnnualDividendRate,0.03
open,15.75
averageVolume10days,5337150
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1581552000
beta,1.42841
circulatingSupply,
startDate,
regularMarketDayLow,15.14
priceHint,2
currency,USD
regularMarketVolume,5628349
lastMarket,
maxSupply,
openInterest,
marketCap,4401316352
volumeAllCurrencies,
strikePrice,
averageVolume,4958132
priceToSalesTrailing12Months,1.690774
dayLow,15.14
ask,0
ytdReturn,
askSize,900
volume,5628349
fiftyTwoWeekHigh,17.97
forwardPE,24.569233
fromCurrency,
fiveYearAvgDividendYield,0.49
fiftyTwoWeekLow,4.21
bid,0
tradeable,False
dividendYield,
bidSize,1400
dayHigh,16
exchange,NYQ
shortName,EQT Corporation
longName,EQT Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,EQT
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_269924
uuid,bfa511a0-149d-3859-b584-acb8d48f75a0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.342
beta3Year,
profitMargins,-0.8481200000000001
enterpriseToEbitda,10.225
52WeekChange,
morningStarRiskRating,
forwardEps,0.65
revenueQuarterlyGrowth,
sharesOutstanding,275599008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,34.643
sharesShort,14992397
sharesPercentSharesOut,0.054400000000000004
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.91369003
netIncomeToCommon,-2207778048
trailingEps,-8.642
lastDividendValue,
SandP52WeekChange,
priceToBook,0.46098778
heldPercentInsiders,0.0108
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.75
sharesShortPreviousMonthDate,1601424000
floatShares,253983442
enterpriseValue,8698924032
threeYearAverageReturn,
lastSplitDate,1542067200
lastSplitFactor,1837:1000
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-7.6
lastCapGain,
shortPercentOfFloat,0.060900003
sharesShortPriorMonth,15573200
category,
fiveYearAverageReturn,
regularMarketPrice,15.75
logo_url,https://logo.clearbit.com/eqt.com
