key,value
zip,77056
sector,Energy
fullTimeEmployees,9
longBusinessSummary,"ERHC Energy Inc. engages in the exploration and exploitation of oil and gas resources in Africa. Its principal assets include the rights to working interests in exploration acreage in the Republic of Kenya; the Republic of Chad; the Joint Development Zone between the Democratic Republic of Sao Tome and Principe; the Federal Republic of Nigeria; and the economic zone of Sao Tome. The company was founded in 1986 and is based in Houston, Texas."
city,Houston
phone,713-626-4700
state,TX
country,United States
companyOfficers,[]
website,http://www.erhc.com
maxAge,1
address1,5444 Westheimer Road
industry,Oil & Gas E&P
address2,Suite 1000 #181
previousClose,0.0006000000000000001
regularMarketOpen,0.0006000000000000001
twoHundredDayAverage,0.0005657143
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.0006000000000000001
navPrice,
averageDailyVolume10Day,688134
totalAssets,
regularMarketPreviousClose,0.0006000000000000001
fiftyDayAverage,0.000725
trailingAnnualDividendRate,
open,0.0006000000000000001
averageVolume10days,688134
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,0.377113
circulatingSupply,
startDate,
regularMarketDayLow,0.0006000000000000001
priceHint,4
currency,USD
regularMarketVolume,505001
lastMarket,
maxSupply,
openInterest,
marketCap,1439724
volumeAllCurrencies,
strikePrice,
averageVolume,277014
priceToSalesTrailing12Months,26.362778
dayLow,0.0006000000000000001
ask,0
ytdReturn,
askSize,0
volume,505001
fiftyTwoWeekHigh,0.001
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,2e-05
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.0006000000000000001
exchange,PNK
shortName,ERHC ENERGY INC
longName,ERHC Energy Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ERHE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_374651
uuid,1b0f8910-106d-349b-89e2-183719aa6a64
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,33.008
beta3Year,
profitMargins,0
enterpriseToEbitda,-0.186
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,2879439872
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.003
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1475193600
heldPercentInstitutions,0
netIncomeToCommon,-11142807
trailingEps,-0.006
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.13867000000000002
nextFiscalYearEnd,1538265600
mostRecentQuarter,1498780800
shortRatio,
sharesShortPreviousMonthDate,
floatShares,2477299211
enterpriseValue,1802658
threeYearAverageReturn,
lastSplitDate,1452816000
lastSplitFactor,1:100
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.0006000000000000001
logo_url,https://logo.clearbit.com/erhc.com
