key,value
zip,77056
sector,Energy
fullTimeEmployees,61
longBusinessSummary,"Erin Energy Corporation, an independent exploration and production company, engages in the acquisition and development of energy resources in Africa. Its asset portfolio consists of five licenses covering an area of approximately 6,000 square kilometers across offshore Nigeria, offshore Ghana, and offshore The Gambia. The company was formerly known as CAMAC Energy Inc. and changed its name to Erin Energy Corporation in April 2015. The company was founded in 2005 and is headquartered in Houston, Texas. Erin Energy Corporation is a subsidiary of CAMAC Energy Holdings Limited. On July 13, 2018, the voluntary petition of Erin Energy Corporation for reorganization under Chapter 11 was converted to Chapter 7. It had filed for Chapter 11 bankruptcy on April 25, 2018."
city,Houston
phone,713-797-2940
state,TX
country,United States
companyOfficers,[]
website,http://www.erinenergy.com
maxAge,1
address1,1330 Post Oak Boulevard
industry,Oil & Gas E&P
address2,Suite 2250
previousClose,0.001
regularMarketOpen,0.0014
twoHundredDayAverage,0.0013522696000000001
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.001
navPrice,
averageDailyVolume10Day,10413
totalAssets,
regularMarketPreviousClose,0.001
fiftyDayAverage,0.0011944445
trailingAnnualDividendRate,
open,0.0014
averageVolume10days,10413
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.8032690000000002
circulatingSupply,
startDate,
regularMarketDayLow,0.001
priceHint,4
currency,USD
regularMarketVolume,54982
lastMarket,
maxSupply,
openInterest,
marketCap,86108
volumeAllCurrencies,
strikePrice,
averageVolume,34589
priceToSalesTrailing12Months,0.0008510966000000001
dayLow,0.001
ask,0
ytdReturn,
askSize,0
volume,54982
fiftyTwoWeekHigh,0.018000000000000002
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.0001
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.001
exchange,PNK
shortName,ERIN ENERGY CORP
longName,Erin Energy Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ERINQ
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_62604221
uuid,f42a4bbc-3984-3a72-ac02-345d03cf647e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.454
beta3Year,
profitMargins,-1.5013100000000001
enterpriseToEbitda,76.378
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,215271008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-1.69
sharesShort,560426
sharesPercentSharesOut,0.0026000000000000003
fundFamily,
lastFiscalYearEnd,1514678400
heldPercentInstitutions,0.00025
netIncomeToCommon,-151892000
trailingEps,-0.711
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0
nextFiscalYearEnd,1577750400
mostRecentQuarter,1514678400
shortRatio,22.09
sharesShortPreviousMonthDate,1521072000
floatShares,214026208
enterpriseValue,248306336
threeYearAverageReturn,
lastSplitDate,1429747200
lastSplitFactor,1:6
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1523577600
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,486955
category,
fiveYearAverageReturn,
regularMarketPrice,0.0014
logo_url,https://logo.clearbit.com/erinenergy.com
