key,value
zip,77380
sector,Energy
fullTimeEmployees,69
longBusinessSummary,"Earthstone Energy, Inc., an independent energy company, engages in the acquisition, exploration, development, and production of oil and natural gas properties in the United States. Its asset portfolio includes the Midland Basin of west Texas and the Eagle Ford trend of south Texas. As of December 31, 2019, the company operated 103 gross Eagle Ford wells; and 13 gross Austin Chalk wells, as well as had 94,336 thousand barrels of oil equivalent (MBOE) of total proved reserves comprised 31,521 MBOE of proved developed reserves and 62,815 MBOE of proved undeveloped reserves. Earthstone Energy, Inc. was founded in 1969 and is headquartered in The Woodlands, Texas."
city,The Woodlands
phone,281 298 4246
state,TX
country,United States
companyOfficers,[]
website,http://www.earthstoneenergy.com
maxAge,1
address1,1400 Woodloch Forest Drive
fax,832 823 0478
industry,Oil & Gas E&P
address2,Suite 300
previousClose,3.76
regularMarketOpen,3.8
twoHundredDayAverage,2.845036
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,4.06
navPrice,
averageDailyVolume10Day,175416
totalAssets,
regularMarketPreviousClose,3.76
fiftyDayAverage,2.8527777
trailingAnnualDividendRate,
open,3.8
averageVolume10days,175416
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.715332
circulatingSupply,
startDate,
regularMarketDayLow,3.8
priceHint,4
currency,USD
regularMarketVolume,256684
lastMarket,
maxSupply,
openInterest,
marketCap,260228192
volumeAllCurrencies,
strikePrice,
averageVolume,158212
priceToSalesTrailing12Months,1.4901176999999999
dayLow,3.8
ask,0
ytdReturn,
askSize,800
volume,256684
fiftyTwoWeekHigh,7.23
forwardPE,19
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.44
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,4.06
exchange,NYQ
shortName,"Earthstone Energy, Inc."
longName,"Earthstone Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ESTE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_230458856
uuid,9bea4c05-6b91-3714-a76c-7eedf321ea87
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.135
beta3Year,
profitMargins,-0.044090000000000004
enterpriseToEbitda,4.679
52WeekChange,
morningStarRiskRating,
forwardEps,0.21
revenueQuarterlyGrowth,
sharesOutstanding,30210700
fundInceptionDate,
annualReportExpenseRatio,
bookValue,11.627
sharesShort,1806203
sharesPercentSharesOut,0.027700000000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.51453
netIncomeToCommon,-7700000
trailingEps,-0.268
lastDividendValue,
SandP52WeekChange,
priceToBook,0.34316677
heldPercentInsiders,0.28076
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,14.19
sharesShortPreviousMonthDate,1601424000
floatShares,21511866
enterpriseValue,722125440
threeYearAverageReturn,
lastSplitDate,1294012800
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.30000000000000004
lastCapGain,
shortPercentOfFloat,0.077199996
sharesShortPriorMonth,1923646
category,
fiveYearAverageReturn,
regularMarketPrice,3.8
logo_url,https://logo.clearbit.com/earthstoneenergy.com
