key,value
zip,75251
sector,Energy
fullTimeEmployees,153
longBusinessSummary,"EXCO Resources, Inc., an independent oil and natural gas company, engages in the acquisition, exploration, exploitation, development, and production of onshore oil and natural gas properties with a focus on shale resource plays in the United States. The company holds interests in approximately 96,600 net acres located in the Haynesville and Bossier shales of East Texas and North Louisiana; approximately 48,500 net acres located in the Eagle Ford shale of South Texas; and approximately 234,800 net acres of prospective area located in the Marcellus shale, as well as approximately 69,000 net acres of prospective area located in the Utica shale of the Appalachia region. As of December 31, 2018, it had proved reserves of approximately 660.6 billion cubic feet equivalent of oil and natural gas. The company was founded in 1955 and is based in Dallas, Texas."
city,Dallas
phone,214-368-2084
state,TX
country,United States
companyOfficers,[]
website,http://www.excoresources.com
maxAge,1
address1,12377 Merit Drive
fax,214-368-2087
industry,Oil & Gas E&P
address2,Suite 1700
previousClose,1
regularMarketOpen,1.01
twoHundredDayAverage,1.0939208
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1
navPrice,
averageDailyVolume10Day,16323
totalAssets,
regularMarketPreviousClose,1
fiftyDayAverage,1.0069444
trailingAnnualDividendRate,
open,1.01
averageVolume10days,16323
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1410998400
beta,6.364448
circulatingSupply,
startDate,
regularMarketDayLow,1
priceHint,4
currency,USD
regularMarketVolume,10300
lastMarket,
maxSupply,
openInterest,
marketCap,21584500
volumeAllCurrencies,
strikePrice,
averageVolume,5743
priceToSalesTrailing12Months,0.05477938
dayLow,1
ask,
ytdReturn,
askSize,
volume,10300
fiftyTwoWeekHigh,3.1
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.0002
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,1
exchange,PNK
shortName,EXCO RESOURCES INC
longName,"EXCO Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,EXCE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_391396
uuid,56940ab1-e7a7-3dcc-b663-72999bcd36e7
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.493
beta3Year,
profitMargins,-0.46367002
enterpriseToEbitda,6.373
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,21584500
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-47.638
sharesShort,2527841
sharesPercentSharesOut,0.1169
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0.06704
netIncomeToCommon,-182696992
trailingEps,-8.425
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0
nextFiscalYearEnd,1609372800
mostRecentQuarter,1546214400
shortRatio,8.08
sharesShortPreviousMonthDate,1510704000
floatShares,21547912
enterpriseValue,1376287872
threeYearAverageReturn,
lastSplitDate,1497312000
lastSplitFactor,1:15
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1513296000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.24830000000000002
sharesShortPriorMonth,2545764
category,
fiveYearAverageReturn,
regularMarketPrice,1.01
logo_url,https://logo.clearbit.com/excoresources.com
