key,value
zip,79701
sector,Energy
fullTimeEmployees,712
longBusinessSummary,"Diamondback Energy, Inc., an independent oil and natural gas company, focuses on the acquisition, development, exploration, and exploitation of unconventional and onshore oil and natural gas reserves in the Permian Basin in West Texas. It primarily focuses on the development of the Spraberry and Wolfcamp formations of the Midland basin; and the Wolfcamp and Bone Spring formations of the Delaware basin, which are part of the Permian Basin in West Texas and New Mexico. As of December 31, 2019, the company's total acreage position was approximately 455,378 gross acres in the Permian Basin; and estimated proved oil and natural gas reserves were 1,127,575 thousand barrels of crude oil equivalent. It also held working interests in 2,656 gross producing wells, as well as royalty interests in 4,161 additional wells. In addition, the company owns mineral interests approximately 814,224 gross acres and 24,304 net royalty acres in the Permian Basin and Eagle Ford Shale; and owns, operates, develops, and acquires midstream infrastructure assets, such as 867 miles of crude oil gathering pipelines, natural gas gathering pipelines, and an integrated water system in the Midland and Delaware Basins of the Permian Basin. Diamondback Energy, Inc. was founded in 2007 and is headquartered in Midland, Texas."
city,Midland
phone,432 221 7400
state,TX
country,United States
companyOfficers,[]
website,http://www.diamondbackenergy.com
maxAge,1
address1,500 West Texas Avenue
industry,Oil & Gas E&P
address2,Suite 1200
previousClose,44.49
regularMarketOpen,46.53
twoHundredDayAverage,37.895683
trailingAnnualDividendYield,0.03371544
payoutRatio,
volume24Hr,
regularMarketDayHigh,47.25
navPrice,
averageDailyVolume10Day,4539300
totalAssets,
regularMarketPreviousClose,44.49
fiftyDayAverage,30.801666
trailingAnnualDividendRate,1.5
open,46.53
averageVolume10days,4539300
expireDate,
yield,
algorithm,
dividendRate,1.5
exDividendDate,1604966400
beta,2.29425
circulatingSupply,
startDate,
regularMarketDayLow,45
priceHint,2
currency,USD
regularMarketVolume,5395889
lastMarket,
maxSupply,
openInterest,
marketCap,7446846976
volumeAllCurrencies,
strikePrice,
averageVolume,3402303
priceToSalesTrailing12Months,2.4889194999999997
dayLow,45
ask,0
ytdReturn,
askSize,1000
volume,5395889
fiftyTwoWeekHigh,96.92
forwardPE,12.087179
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,14.55
bid,0
tradeable,False
dividendYield,0.037700000000000004
bidSize,1100
dayHigh,47.25
exchange,NMS
shortName,"Diamondback Energy, Inc. - Comm"
longName,"Diamondback Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,FANG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_170245760
uuid,7f448654-4da6-3c99-be09-c9bfe680da59
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.65
beta3Year,
profitMargins,-1.42547
enterpriseToEbitda,6.4
52WeekChange,
morningStarRiskRating,
forwardEps,3.9
revenueQuarterlyGrowth,
sharesOutstanding,157972992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,60.513
sharesShort,11316737
sharesPercentSharesOut,0.0716
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9512300000000001
netIncomeToCommon,-4264999936
trailingEps,-26.836
lastDividendValue,
SandP52WeekChange,
priceToBook,0.7790060999999999
heldPercentInsiders,0.009420000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.48
sharesShortPreviousMonthDate,1601424000
floatShares,156862102
enterpriseValue,13913202688
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,1.18
lastCapGain,
shortPercentOfFloat,0.0946
sharesShortPriorMonth,8981261
category,
fiveYearAverageReturn,
regularMarketPrice,46.53
logo_url,https://logo.clearbit.com/diamondbackenergy.com
