key,value
zip,85004-2189
sector,Basic Materials
fullTimeEmployees,27500
longBusinessSummary,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. The company primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas. Its assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Tyrone and Chino in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. The company also operates a portfolio of oil and gas properties primarily located in offshore California and the Gulf of Mexico. As of December 31, 2019, it estimated consolidated recoverable proven and probable mineral reserves totaled 116 billion pounds of copper, 29.6 million ounces of gold, and 3.58 billion pounds of molybdenum, as well as operated approximately 210 wells. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. Freeport-McMoRan Inc. was founded in 1987 and is headquartered in Phoenix, Arizona."
city,Phoenix
phone,602-366-8100
state,AZ
country,United States
companyOfficers,[]
website,http://fcx.com
maxAge,1
address1,333 North Central Avenue
industry,Copper
previousClose,21.91
regularMarketOpen,22.23
twoHundredDayAverage,14.286691
trailingAnnualDividendYield,0.002282063
payoutRatio,
volume24Hr,
regularMarketDayHigh,23.25
navPrice,
averageDailyVolume10Day,17823383
totalAssets,
regularMarketPreviousClose,21.91
fiftyDayAverage,18.405277
trailingAnnualDividendRate,0.05
open,22.23
averageVolume10days,17823383
expireDate,
yield,
algorithm,
dividendRate,0.2
exDividendDate,1578960000
beta,2.213077
circulatingSupply,
startDate,
regularMarketDayLow,22.2
priceHint,2
currency,USD
regularMarketVolume,34607898
lastMarket,
maxSupply,
openInterest,
marketCap,33575827456
volumeAllCurrencies,
strikePrice,
averageVolume,19357470
priceToSalesTrailing12Months,2.466272
dayLow,22.2
ask,0
ytdReturn,
askSize,2900
volume,34607898
fiftyTwoWeekHigh,23.25
forwardPE,13.674555999999999
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,4.82
bid,0
tradeable,False
dividendYield,0.034800000000000005
bidSize,4000
dayHigh,23.25
exchange,NYQ
shortName,"Freeport-McMoRan, Inc."
longName,Freeport-McMoRan Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,FCX
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_273607
uuid,3a447e02-efa8-35e4-90c2-8f814502ceb8
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.794
beta3Year,
profitMargins,-0.007350000000000001
enterpriseToEbitda,16.954
52WeekChange,
morningStarRiskRating,
forwardEps,1.69
revenueQuarterlyGrowth,
sharesOutstanding,1452870016
fundInceptionDate,
annualReportExpenseRatio,
bookValue,6.357
sharesShort,25063970
sharesPercentSharesOut,0.0173
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.73892
netIncomeToCommon,-104000000
trailingEps,-0.079
lastDividendValue,
SandP52WeekChange,
priceToBook,3.6353629
heldPercentInsiders,0.007490000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.37
sharesShortPreviousMonthDate,1601424000
floatShares,1446098054
enterpriseValue,51657347072
threeYearAverageReturn,
lastSplitDate,1296604800
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.18
lastCapGain,
shortPercentOfFloat,0.0194
sharesShortPriorMonth,34222190
category,
fiveYearAverageReturn,
regularMarketPrice,22.23
logo_url,https://logo.clearbit.com/fcx.com
