key,value
zip,78746
sector,Energy
fullTimeEmployees,3
longBusinessSummary,"FieldPoint Petroleum Corporation engages in the acquisition, exploration, and production of oil and natural gas properties in the United States. Its principal properties include Block A-49, Spraberry Trend, and Serbin Field, Texas; Sulimar Field, New Mexico; West Allen Field, Oklahoma; and Longwood Field, Louisiana. The company is headquartered in Austin, Texas. On June 24, 2020, FieldPoint Petroleum Corporation filed a voluntary petition for Liquidation under Chapter 7 in the US Bankruptcy Court for the Western District of Texas."
city,Austin
phone,512-250-8692
state,TX
country,United States
companyOfficers,[]
website,http://www.fppcorp.com
maxAge,1
address1,609 Castle Ridge Road
industry,Oil & Gas E&P
address2,Suite 335
previousClose,0.0089
regularMarketOpen,0.0055000000000000005
twoHundredDayAverage,0.021394752000000003
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.0089
navPrice,
averageDailyVolume10Day,151164
totalAssets,
regularMarketPreviousClose,0.0089
fiftyDayAverage,0.0088444445
trailingAnnualDividendRate,
open,0.0055000000000000005
averageVolume10days,151164
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.470124
circulatingSupply,
startDate,
regularMarketDayLow,0.0055000000000000005
priceHint,4
currency,USD
regularMarketVolume,46264
lastMarket,
maxSupply,
openInterest,
marketCap,94955
volumeAllCurrencies,
strikePrice,
averageVolume,22259
priceToSalesTrailing12Months,0.04428768
dayLow,0.0055000000000000005
ask,
ytdReturn,
askSize,
volume,46264
fiftyTwoWeekHigh,0.0964
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.005
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.0089
exchange,PNK
shortName,FIELDPOINT PETROLEUM CORP
longName,FieldPoint Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,FPPP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_383339
uuid,67826834-65cc-3694-a837-22666192ebb9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.147
beta3Year,
profitMargins,-1.54961
enterpriseToEbitda,-7.742
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,10669200
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.162
sharesShort,28234
sharesPercentSharesOut,0.0026000000000000003
fundFamily,
lastFiscalYearEnd,1546214400
heldPercentInstitutions,0.00013000000000000002
netIncomeToCommon,-3322434
trailingEps,-0.311
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.45778
nextFiscalYearEnd,1609372800
mostRecentQuarter,1553990400
shortRatio,0.25
sharesShortPreviousMonthDate,1507852800
floatShares,5785069
enterpriseValue,2459473
threeYearAverageReturn,
lastSplitDate,883526400
lastSplitFactor,1:75
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1510704000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0034999999
sharesShortPriorMonth,19093
category,
fiveYearAverageReturn,
regularMarketPrice,0.0055000000000000005
logo_url,https://logo.clearbit.com/fppcorp.com
