key,value
zip,77002
sector,Energy
fullTimeEmployees,51
longBusinessSummary,"Goodrich Petroleum Corporation, an independent oil and natural gas company, engages in the exploration, development, and production of oil and natural gas. It primarily holds interests in the Haynesville Shale Trend in northwest Louisiana and East Texas; Tuscaloosa Marine Shale Trend located in southwest Mississippi and southeast Louisiana; and the Eagle Ford Shale Trend situated in South Texas. The company owns interests in 176 producing oil and natural gas wells located in 37 fields in seven states of the United States. As of December 31, 2019, it had estimated proved reserves of approximately 517 billion cubic feet equivalent, which included 510 billion cubic feet of natural gas and 1.1 million barrels of crude oil or other liquid hydrocarbons of oil and condensate. The company was founded in 1995 and is based in Houston, Texas."
city,Houston
phone,713 780 9494
state,TX
country,United States
companyOfficers,[]
website,http://www.goodrichpetroleum.com
maxAge,1
address1,801 Louisiana Street
fax,713 780 9254
industry,Oil & Gas E&P
address2,Suite 700
previousClose,11.81
regularMarketOpen,11.81
twoHundredDayAverage,8.372662
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,12.5
navPrice,
averageDailyVolume10Day,29150
totalAssets,
regularMarketPreviousClose,11.81
fiftyDayAverage,10.441111
trailingAnnualDividendRate,
open,11.81
averageVolume10days,29150
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.166666
circulatingSupply,
startDate,
regularMarketDayLow,11.81
priceHint,2
currency,USD
regularMarketVolume,34742
lastMarket,
maxSupply,
openInterest,
marketCap,152502400
volumeAllCurrencies,
strikePrice,
averageVolume,25552
priceToSalesTrailing12Months,1.6578691
dayLow,11.81
ask,0
ytdReturn,
askSize,1000
volume,34742
fiftyTwoWeekHigh,13.3
forwardPE,5.4035873
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,2.395
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,12.5
exchange,ASE
shortName,Goodrich Petroleum Corporation
longName,Goodrich Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,GDP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_349089
uuid,35c9f504-0cfb-3586-986a-c8cb8f0b06a6
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.81
beta3Year,
profitMargins,-0.40432
enterpriseToEbitda,7.011
52WeekChange,
morningStarRiskRating,
forwardEps,2.23
revenueQuarterlyGrowth,
sharesOutstanding,12655800
fundInceptionDate,
annualReportExpenseRatio,
bookValue,4.117
sharesShort,177137
sharesPercentSharesOut,0.0139999995
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.81369
netIncomeToCommon,-37192000
trailingEps,-3.02
lastDividendValue,
SandP52WeekChange,
priceToBook,2.9268885
heldPercentInsiders,0.12262999000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,5.83
sharesShortPreviousMonthDate,1601424000
floatShares,8805523
enterpriseValue,258437968
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-60.25
lastCapGain,
shortPercentOfFloat,0.0327
sharesShortPriorMonth,182215
category,
fiveYearAverageReturn,
regularMarketPrice,11.81
logo_url,https://logo.clearbit.com/goodrichpetroleum.com
