key,value
zip,07102
sector,Utilities
fullTimeEmployees,286
longBusinessSummary,"Genie Energy Ltd., through its subsidiaries, operates as a retail energy provider, and an oil and gas exploration company. The company operates through four segments: Genie Retail Energy (GRE); GRE International; Genie Energy Services; and Genie Oil and Gas, Inc. It resells electricity and natural gas to residential and small business customers primarily in the Eastern and Midwestern United States, as well as in the United Kingdom, Japan, and Finland. The company also engages in the provision of energy advisory and brokerage services; and solar panel manufacturing, and solar installation design and project management activities. In addition, it holds an 86.1% interest in the southern portion of the Golan Heights in Northern Israel, as well as owns an interest in a contracted drilling services operation. Genie Energy Ltd. is headquartered in Newark, New Jersey."
city,Newark
phone,973-438-3500
state,NJ
country,United States
companyOfficers,[]
website,http://www.genie.com
maxAge,1
address1,520 Broad Street
fax,973-438-1256
industry,Utilities—Regulated Electric
previousClose,8.8
regularMarketOpen,8.9
twoHundredDayAverage,8.38964
trailingAnnualDividendYield,0.0375
payoutRatio,0.64
volume24Hr,
regularMarketDayHigh,8.98
navPrice,
averageDailyVolume10Day,38700
totalAssets,
regularMarketPreviousClose,8.8
fiftyDayAverage,8.779166
trailingAnnualDividendRate,0.33
open,8.9
averageVolume10days,38700
expireDate,
yield,
algorithm,
dividendRate,0.34
exDividendDate,1606953600
beta,0.773957
circulatingSupply,
startDate,
regularMarketDayLow,8.77
priceHint,2
currency,USD
trailingPE,17.811245
regularMarketVolume,37365
lastMarket,
maxSupply,
openInterest,
marketCap,232568736
volumeAllCurrencies,
strikePrice,
averageVolume,57764
priceToSalesTrailing12Months,0.64889926
dayLow,8.77
ask,0
ytdReturn,
askSize,900
volume,37365
fiftyTwoWeekHigh,9.6
forwardPE,19.282608
fromCurrency,
fiveYearAvgDividendYield,4.03
fiftyTwoWeekLow,4.6
bid,0
tradeable,False
dividendYield,0.038599998
bidSize,800
dayHigh,8.98
exchange,NYQ
shortName,Genie Energy Ltd.
longName,Genie Energy Ltd.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,GNE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_113359359
uuid,a41f9837-f08f-3388-9e2f-ccb308be2aa8
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,0.612
beta3Year,
profitMargins,0.04143
enterpriseToEbitda,7.922
52WeekChange,
morningStarRiskRating,
forwardEps,0.46
revenueQuarterlyGrowth,
sharesOutstanding,24645400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,3.133
sharesShort,981379
sharesPercentSharesOut,0.0376
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.34087002
netIncomeToCommon,13367000
trailingEps,0.498
lastDividendValue,
SandP52WeekChange,
priceToBook,2.8311522
heldPercentInsiders,0.30943000000000004
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,15.15
sharesShortPreviousMonthDate,1601424000
floatShares,20583775
enterpriseValue,219395360
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,0.28200000000000003
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0478
sharesShortPriorMonth,1204673
category,
fiveYearAverageReturn,
regularMarketPrice,8.9
logo_url,https://logo.clearbit.com/genie.com
