key,value
zip,77010
sector,Energy
fullTimeEmployees,7
longBusinessSummary,"GulfSlope Energy, Inc., an independent oil and natural gas exploration company, focuses on the exploration and development of oil and natural gas properties in the Gulf of Mexico federal waters offshore Louisiana in the United States. It has leased 14 federal outer continental shelf blocks and licensed 2.2 million acres of three-dimensional seismic data in its area of concentration. The company was formerly known as Plan A Promotions, Inc. and changed its name to GulfSlope Energy, Inc. in April 2012. GulfSlope Energy, Inc. was founded in 2003 and is headquartered in Houston, Texas."
city,Houston
phone,281 918 4100
state,TX
country,United States
companyOfficers,[]
website,http://www.gulfslope.com
maxAge,1
address1,1331 Lamar Street
industry,Oil & Gas E&P
address2,Suite 1665
previousClose,0.004
regularMarketOpen,0.004
twoHundredDayAverage,0.00728777
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.0048000000000000004
navPrice,
averageDailyVolume10Day,1016100
totalAssets,
regularMarketPreviousClose,0.004
fiftyDayAverage,0.0045555555
trailingAnnualDividendRate,
open,0.004
averageVolume10days,1016100
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.562006
circulatingSupply,
startDate,
regularMarketDayLow,0.0037
priceHint,4
currency,USD
regularMarketVolume,624000
lastMarket,
maxSupply,
openInterest,
marketCap,6003552
volumeAllCurrencies,
strikePrice,
averageVolume,997636
priceToSalesTrailing12Months,
dayLow,0.0037
ask,0
ytdReturn,
askSize,0
volume,624000
fiftyTwoWeekHigh,0.035
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.003
bid,0
tradeable,False
dividendYield,
bidSize,0
dayHigh,0.0048000000000000004
exchange,PNK
shortName,GULFSLOPE ENERGY INC
longName,"GulfSlope Energy, Inc"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,GSPE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_29979145
uuid,550a4934-3e9f-392c-bc0b-424f39c62f1b
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,
beta3Year,
profitMargins,0
enterpriseToEbitda,-9.204
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,1250739968
fundInceptionDate,
annualReportExpenseRatio,
bookValue,0.001
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1569801600
heldPercentInstitutions,0.0043300000000000005
netIncomeToCommon,-5055136
trailingEps,-0.004
lastDividendValue,
SandP52WeekChange,
priceToBook,4.8
heldPercentInsiders,0.40063000000000004
nextFiscalYearEnd,1632960000
mostRecentQuarter,1593475200
shortRatio,
sharesShortPreviousMonthDate,
floatShares,720739124
enterpriseValue,16097997
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,0.004
logo_url,https://logo.clearbit.com/gulfslope.com
