key,value
zip,10036
sector,Energy
fullTimeEmployees,1775
longBusinessSummary,"Hess Corporation, an exploration and production company, explores, develops, produces, purchases, transports, and sells crude oil, natural gas liquids (NGLs), and natural gas. It operates through two segments, Exploration and Production, and Midstream. The company conducts production operations primarily in the United States, Denmark, the Malaysia/Thailand Joint Development Area, and Malaysia; and exploration activities primarily offshore Guyana, Suriname, Canada, and in the Gulf of Mexico. As of December 31, 2019, it had total proved reserves of 1,197 million barrels of oil equivalent. The company is also involved in the gathering, compressing, and processing of natural gas; fractionating NGLs; terminaling, loading, and transporting crude oil and NGLs through rail car; storing and terminaling propane, as well as providing water handling services primarily in the Bakken Shale plays in the Williston Basin area of North Dakota. The company was founded in 1920 and is headquartered in New York, New York."
city,New York
phone,212 997 8500
state,NY
country,United States
companyOfficers,[]
website,http://www.hess.com
maxAge,1
address1,1185 Avenue of the Americas
industry,Oil & Gas E&P
address2,40th Floor
previousClose,49.94
regularMarketOpen,51.59
twoHundredDayAverage,46.080864
trailingAnnualDividendYield,0.02002403
payoutRatio,
volume24Hr,
regularMarketDayHigh,54.47
navPrice,
averageDailyVolume10Day,2536483
totalAssets,
regularMarketPreviousClose,49.94
fiftyDayAverage,40.196945
trailingAnnualDividendRate,1
open,51.59
averageVolume10days,2536483
expireDate,
yield,
algorithm,
dividendRate,1
exDividendDate,1600041600
beta,2.223788
circulatingSupply,
startDate,
regularMarketDayLow,50.65
priceHint,2
currency,USD
regularMarketVolume,3293968
lastMarket,
maxSupply,
openInterest,
marketCap,16471609344
volumeAllCurrencies,
strikePrice,
averageVolume,2353230
priceToSalesTrailing12Months,3.3718748
dayLow,50.65
ask,0
ytdReturn,
askSize,2200
volume,3293968
fiftyTwoWeekHigh,71.66
forwardPE,-22.443514
fromCurrency,
fiveYearAvgDividendYield,1.92
fiftyTwoWeekLow,26.06
bid,0
tradeable,False
dividendYield,0.02
bidSize,900
dayHigh,54.47
exchange,NYQ
shortName,Hess Corporation
longName,Hess Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,HES
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_249841
uuid,eb3e8cdb-9a5a-35a1-a745-f1e64bb43feb
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.885
beta3Year,
profitMargins,-0.6587500000000001
enterpriseToEbitda,13.01
52WeekChange,
morningStarRiskRating,
forwardEps,-2.39
revenueQuarterlyGrowth,
sharesOutstanding,307076992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,19.393
sharesShort,9168864
sharesPercentSharesOut,0.029900000000000003
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.85579
netIncomeToCommon,-3217999872
trailingEps,-10.58
lastDividendValue,
SandP52WeekChange,
priceToBook,2.7659464
heldPercentInsiders,0.10878000400000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.19
sharesShortPreviousMonthDate,1601424000
floatShares,277772450
enterpriseValue,23860867072
threeYearAverageReturn,
lastSplitDate,1149120000
lastSplitFactor,3:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.89
lastCapGain,
shortPercentOfFloat,0.045100003
sharesShortPriorMonth,8241101
category,
fiveYearAverageReturn,
regularMarketPrice,51.59
logo_url,https://logo.clearbit.com/hess.com
