key,value
zip,80202
sector,Energy
fullTimeEmployees,155
longBusinessSummary,"HighPoint Resources Corporation, together with its subsidiaries, engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. The company primarily holds interest in the Denver Julesburg Basin in Colorado's eastern plains and parts of southeastern Wyoming. HighPoint Resources Corporation is headquartered in Denver, Colorado."
city,Denver
phone,303 293 9100
state,CO
country,United States
companyOfficers,[]
website,http://www.hpres.com
maxAge,1
address1,555 17th Street
fax,303 291 0420
industry,Oil & Gas E&P
address2,Suite 3700
previousClose,9.76
regularMarketOpen,9.72
twoHundredDayAverage,14.252518
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,9.76
navPrice,
averageDailyVolume10Day,6926350
totalAssets,
regularMarketPreviousClose,9.76
fiftyDayAverage,8.030556
trailingAnnualDividendRate,
open,9.72
averageVolume10days,6926350
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,4.223224
circulatingSupply,
startDate,
regularMarketDayLow,7.73
priceHint,2
currency,USD
regularMarketVolume,1318785
lastMarket,
maxSupply,
openInterest,
marketCap,36378264
volumeAllCurrencies,
strikePrice,
averageVolume,816630
priceToSalesTrailing12Months,0.11767150500000001
dayLow,7.73
ask,0
ytdReturn,
askSize,800
volume,1318785
fiftyTwoWeekHigh,99
forwardPE,-2.665615
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,2.8
bid,0
tradeable,False
dividendYield,
bidSize,1400
dayHigh,9.76
exchange,NYQ
shortName,HighPoint Resources Corporation
longName,HighPoint Resources Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,HPR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_1921896
uuid,8ca259b7-7b9d-3f6d-ba61-968e15881d14
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.552
beta3Year,
profitMargins,0
enterpriseToEbitda,2.672
52WeekChange,
morningStarRiskRating,
forwardEps,-3.17
revenueQuarterlyGrowth,
sharesOutstanding,4305120
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-2.971
sharesShort,1063806
sharesPercentSharesOut,0.24710000000000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.6141
netIncomeToCommon,-1146877056
trailingEps,-271.124
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.01784
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,10.53
sharesShortPreviousMonthDate,1601424000
floatShares,2160108
enterpriseValue,788982528
threeYearAverageReturn,
lastSplitDate,1604016000
lastSplitFactor,1:50
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.24
lastCapGain,
shortPercentOfFloat,0.4708
sharesShortPriorMonth,266592
category,
fiveYearAverageReturn,
regularMarketPrice,9.72
logo_url,https://logo.clearbit.com/hpres.com
