key,value
zip,77002
sector,Energy
fullTimeEmployees,2
longBusinessSummary,"Houston American Energy Corp., an independent energy company, acquires, explores for, develops, and produces natural gas, crude oil, and condensate. Its oil and gas properties are located primarily in the Texas Permian Basin, the onshore Texas and Louisiana Gulf Coast region, and in the South American country of Colombia. As of December 31, 2019, the company owned interests in 4 gross wells. Houston American Energy Corp. was incorporated in 2001 and is based in Houston, Texas."
city,Houston
phone,713 222 6966
state,TX
country,United States
companyOfficers,[]
website,http://www.houstonamerican.com
maxAge,1
address1,801 Travis Street
fax,713 222 6440
industry,Oil & Gas E&P
address2,Suite 1425
previousClose,1.52
regularMarketOpen,1.71
twoHundredDayAverage,1.5713669000000001
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.9100000000000001
navPrice,
averageDailyVolume10Day,309933
totalAssets,
regularMarketPreviousClose,1.52
fiftyDayAverage,1.586389
trailingAnnualDividendRate,
open,1.71
averageVolume10days,309933
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1292371200
beta,0.475197
circulatingSupply,
startDate,
regularMarketDayLow,1.55
priceHint,4
currency,USD
regularMarketVolume,2453928
lastMarket,
maxSupply,
openInterest,
marketCap,13257668
volumeAllCurrencies,
strikePrice,
averageVolume,3081000
priceToSalesTrailing12Months,21.224731
dayLow,1.55
ask,0
ytdReturn,
askSize,1100
volume,2453928
fiftyTwoWeekHigh,6.36
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.86
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,1.9100000000000001
exchange,ASE
shortName,Houston American Energy Corpora
longName,Houston American Energy Corp.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,HUSA
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3158417
uuid,52df75b4-0022-3595-a1de-9fdb9590dd87
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,14.850999999999999
beta3Year,
profitMargins,0
enterpriseToEbitda,-7.855
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,6977720
fundInceptionDate,
annualReportExpenseRatio,
bookValue,1.255
sharesShort,492188
sharesPercentSharesOut,0.07070000500000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.08998
netIncomeToCommon,-3166675
trailingEps,-0.47200000000000003
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5139443
heldPercentInsiders,0.12011000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.29
sharesShortPreviousMonthDate,1601424000
floatShares,5706866
enterpriseValue,9276640
threeYearAverageReturn,
lastSplitDate,1596412800
lastSplitFactor,8:100
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0804
sharesShortPriorMonth,533459
category,
fiveYearAverageReturn,
regularMarketPrice,1.71
logo_url,https://logo.clearbit.com/houstonamerican.com
