key,value
zip,77002
sector,Energy
fullTimeEmployees,11086
longBusinessSummary,"Kinder Morgan, Inc. operates as an energy infrastructure company in North America. The company operates through Natural Gas Pipelines, Products Pipelines, Terminals, and CO2 segments. The Natural Gas Pipelines segment owns and operates interstate and intrastate natural gas pipeline and storage systems; natural gas gathering systems and natural gas processing and treating facilities; natural gas liquids fractionation facilities and transportation systems; and liquefied natural gas liquefaction and storage facilities. The Products Pipelines segment owns and operates refined petroleum products, and crude oil and condensate pipelines; and associated product terminals and petroleum pipeline transmix facilities. The Terminals segment owns and/or operates liquids and bulk terminals that stores and handles various commodities, including gasoline, diesel fuel, chemicals, ethanol, metals, and petroleum coke; and owns tankers. The CO2 segment produces, transports, and markets CO2 to recovery and production crude oil from mature oil fields; and owns interests in/or operates oil fields and gasoline processing plants, as well as operates a crude oil pipeline system in West Texas. It owns and operates approximately 83,000 miles of pipelines and 147 terminals. The company was formerly known as Kinder Morgan Holdco LLC and changed its name to Kinder Morgan, Inc. in February 2011. Kinder Morgan, Inc. was founded in 1936 and is headquartered in Houston, Texas."
city,Houston
phone,713-369-9000
state,TX
country,United States
companyOfficers,[]
website,http://www.kindermorgan.com
maxAge,1
address1,1001 Louisiana Street
industry,Oil & Gas Midstream
address2,Suite 1000
previousClose,14.62
regularMarketOpen,14.99
twoHundredDayAverage,14.0604315
trailingAnnualDividendYield,0.07099863000000001
payoutRatio,20.5
volume24Hr,
regularMarketDayHigh,15.12
navPrice,
averageDailyVolume10Day,21673016
totalAssets,
regularMarketPreviousClose,14.62
fiftyDayAverage,12.763611
trailingAnnualDividendRate,1.038
open,14.99
averageVolume10days,21673016
expireDate,
yield,
algorithm,
dividendRate,1.05
exDividendDate,1604016000
beta,0.972378
circulatingSupply,
startDate,
regularMarketDayLow,14.8701
priceHint,2
currency,USD
trailingPE,305.51022
regularMarketVolume,17317250
lastMarket,
maxSupply,
openInterest,
marketCap,33888937984
volumeAllCurrencies,
strikePrice,
averageVolume,15392910
priceToSalesTrailing12Months,2.8389828
dayLow,14.8701
ask,0
ytdReturn,
askSize,900
volume,17317250
fiftyTwoWeekHigh,22.58
forwardPE,16.27174
fromCurrency,
fiveYearAvgDividendYield,4.74
fiftyTwoWeekLow,9.42
bid,0
tradeable,False
dividendYield,0.0718
bidSize,1300
dayHigh,15.12
exchange,NYQ
shortName,"Kinder Morgan, Inc."
longName,"Kinder Morgan, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,KMI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_34952431
uuid,1f9d4e32-f8c8-3406-9619-fc743bc7b327
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,5.719
beta3Year,
profitMargins,0.010220000000000002
enterpriseToEbitda,11.789
52WeekChange,
morningStarRiskRating,
forwardEps,0.92
revenueQuarterlyGrowth,
sharesOutstanding,2263790080
fundInceptionDate,
annualReportExpenseRatio,
bookValue,13.941
sharesShort,27056862
sharesPercentSharesOut,0.012
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.6256700000000001
netIncomeToCommon,110000000
trailingEps,0.049
lastDividendValue,
SandP52WeekChange,
priceToBook,1.073811
heldPercentInsiders,0.13801000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.74
sharesShortPreviousMonthDate,1601424000
floatShares,1944780083
enterpriseValue,68269666304
threeYearAverageReturn,
lastSplitDate,1421712000
lastSplitFactor,10:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.101
dateShortInterest,1604016000
pegRatio,-8.59
lastCapGain,
shortPercentOfFloat,0.013900000000000001
sharesShortPriorMonth,18668987
category,
fiveYearAverageReturn,
regularMarketPrice,14.99
logo_url,https://logo.clearbit.com/kindermorgan.com
