key,value
zip,75231
sector,Energy
fullTimeEmployees,360
longBusinessSummary,"Kosmos Energy Ltd., a deepwater independent oil and gas exploration and production company, focuses along the Atlantic Margins. The company's primary assets include production offshore Ghana, Equatorial Guinea, and U.S. Gulf of Mexico, as well as a gas development offshore Mauritania and Senegal. It also maintains an exploration program balanced between proven basin infrastructure-led exploration, emerging basins, and frontier basins. The company was founded in 2003 and is headquartered in Dallas, Texas."
city,Dallas
phone,214 445 9600
state,TX
country,United States
companyOfficers,[]
website,http://www.kosmosenergy.com
maxAge,1
address1,8176 Park Lane
fax,214 363 9024
industry,Oil & Gas E&P
address2,Suite 500
previousClose,1.9
regularMarketOpen,2.24
twoHundredDayAverage,1.5190648
trailingAnnualDividendYield,0.047368422
payoutRatio,
volume24Hr,
regularMarketDayHigh,2.26
navPrice,
averageDailyVolume10Day,10549883
totalAssets,
regularMarketPreviousClose,1.9
fiftyDayAverage,1.2077777
trailingAnnualDividendRate,0.09
open,2.24
averageVolume10days,10549883
expireDate,
yield,
algorithm,
dividendRate,0.18
exDividendDate,1583280000
beta,3.38726
circulatingSupply,
startDate,
regularMarketDayLow,1.8
priceHint,4
currency,USD
regularMarketVolume,22059145
lastMarket,
maxSupply,
openInterest,
marketCap,798746368
volumeAllCurrencies,
strikePrice,
averageVolume,8126775
priceToSalesTrailing12Months,0.8154059
dayLow,1.8
ask,0
ytdReturn,
askSize,2900
volume,22059145
fiftyTwoWeekHigh,6.79
forwardPE,-6.7931037
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.5
bid,0
tradeable,False
dividendYield,0.16139999
bidSize,2200
dayHigh,2.26
exchange,NYQ
shortName,Kosmos Energy Ltd.
longName,Kosmos Energy Ltd.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,KOS
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_8955572
uuid,7566ae40-f666-3fe6-b4ec-38ba3d264478
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.942
beta3Year,
profitMargins,-0.46480998
enterpriseToEbitda,9.03
52WeekChange,
morningStarRiskRating,
forwardEps,-0.29
revenueQuarterlyGrowth,
sharesOutstanding,405455008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,1.05
sharesShort,28574781
sharesPercentSharesOut,0.07050000000000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.86557996
netIncomeToCommon,-455315008
trailingEps,-1.1320000000000001
lastDividendValue,
SandP52WeekChange,
priceToBook,1.8761904999999999
heldPercentInsiders,0.05183
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.85
sharesShortPreviousMonthDate,1601424000
floatShares,397791948
enterpriseValue,2881997568
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.11
lastCapGain,
shortPercentOfFloat,0.082399994
sharesShortPriorMonth,30171272
category,
fiveYearAverageReturn,
regularMarketPrice,2.24
logo_url,https://logo.clearbit.com/kosmosenergy.com
