key,value
zip,76102
sector,Energy
longBusinessSummary,"Kimbell Royalty Partners, LP acquires and owns mineral and royalty interests in oil and natural gas properties in the United States. As of December 31, 2019, the company owned mineral and royalty interests in approximately 8.9 million gross acres and overriding royalty interests in approximately 4.6 million gross acres. Its mineral and royalty interests are located in 28 states and include ownership in approximately 94,000 gross producing wells, including approximately 40,000 wells in the Permian Basin. Kimbell Royalty GP, LLC serves as the general partner of the company. Kimbell Royalty Partners, LP was founded in 2013 and is based in Fort Worth, Texas."
city,Fort Worth
phone,817 945 9700
state,TX
country,United States
companyOfficers,[]
website,http://www.kimbellrp.com
maxAge,1
address1,777 Taylor Street
industry,Oil & Gas E&P
address2,Suite 810
previousClose,7.55
regularMarketOpen,7.74
twoHundredDayAverage,7.573957
trailingAnnualDividendYield,0.11523178
payoutRatio,
volume24Hr,
regularMarketDayHigh,7.89
navPrice,
averageDailyVolume10Day,156650
totalAssets,
regularMarketPreviousClose,7.55
fiftyDayAverage,6.4425
trailingAnnualDividendRate,0.87
open,7.74
averageVolume10days,156650
expireDate,
yield,
algorithm,
dividendRate,0.76
exDividendDate,1604016000
beta,2.124176
circulatingSupply,
startDate,
regularMarketDayLow,7.63
priceHint,2
currency,USD
regularMarketVolume,175578
lastMarket,
maxSupply,
openInterest,
marketCap,462890464
volumeAllCurrencies,
strikePrice,
averageVolume,137176
priceToSalesTrailing12Months,4.9052615
dayLow,7.63
ask,0
ytdReturn,
askSize,900
volume,175578
fiftyTwoWeekHigh,17.72
forwardPE,110.71429
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,3.51
bid,0
tradeable,False
dividendYield,0.10200000000000001
bidSize,1000
dayHigh,7.89
exchange,NYQ
shortName,Kimbell Royalty Partners
longName,"Kimbell Royalty Partners, LP"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,KRP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_262264756
uuid,933ac857-bb02-30f4-aa2a-068c16425349
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.473
beta3Year,
profitMargins,-1.5541
enterpriseToEbitda,11.778
52WeekChange,
morningStarRiskRating,
forwardEps,0.07
revenueQuarterlyGrowth,
sharesOutstanding,38948000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,8.372
sharesShort,262559
sharesPercentSharesOut,0.0044
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.35299
netIncomeToCommon,-156450928
trailingEps,-5.078
lastDividendValue,
SandP52WeekChange,
priceToBook,0.9257048
heldPercentInsiders,0.15880999
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.01
sharesShortPreviousMonthDate,1601424000
floatShares,27241805
enterpriseValue,610818368
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.1
lastCapGain,
shortPercentOfFloat,0.007900001
sharesShortPriorMonth,209926
category,
fiveYearAverageReturn,
regularMarketPrice,7.74
logo_url,https://logo.clearbit.com/kimbellrp.com
