key,value
zip,76102
sector,Energy
fullTimeEmployees,43
longBusinessSummary,"Lilis Energy, Inc., an independent oil and natural gas company, engages in the acquisition, exploration, development, and production of oil and natural gas properties. Its total net acreage in the Delaware Basin is approximately 19,562 acres. The company's oil and natural gas properties are located in the Delaware Basin in Winkler, Loving, and Reeves counties, Texas; and Lea County, New Mexico. As of December 31, 2019, it had proved reserves of 12,521 million barrels of oil equivalent. The company was formerly known as Recovery Energy, Inc. and changed its name to Lilis Energy, Inc. in December 2013. Lilis Energy, Inc. was incorporated in 2007 and is headquartered in Fort Worth, Texas. On June 28, 2020, Lilis Energy, Inc. filed a voluntary petition for reorganization under Chapter 11 in the U.S. Bankruptcy Court for the Southern District of Texas."
city,Fort Worth
phone,817 585 9001
state,TX
country,United States
companyOfficers,[]
website,http://www.lilisenergy.com
maxAge,1
address1,201 Main Street
industry,Oil & Gas E&P
address2,Suite 700
previousClose,0.015600000000000001
regularMarketOpen,0.0158
twoHundredDayAverage,0.078461535
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.024
navPrice,
averageDailyVolume10Day,1084600
totalAssets,
regularMarketPreviousClose,0.015600000000000001
fiftyDayAverage,0.011481482000000001
trailingAnnualDividendRate,
open,0.0158
averageVolume10days,1084600
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.317925
circulatingSupply,
startDate,
regularMarketDayLow,0.0158
priceHint,4
currency,USD
regularMarketVolume,3291468
lastMarket,
maxSupply,
openInterest,
marketCap,1901958
volumeAllCurrencies,
strikePrice,
averageVolume,391189
priceToSalesTrailing12Months,0.04578508
dayLow,0.0158
ask,
ytdReturn,
askSize,
volume,3291468
fiftyTwoWeekHigh,0.89
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.01
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.024
exchange,PNK
shortName,"Lilis Energy, Inc."
longName,"Lilis Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,LLEXQ
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_66322692
uuid,82cabf1d-1ea8-360b-bdb0-3bf97c4726b3
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,8.367
beta3Year,
profitMargins,0
enterpriseToEbitda,18.833
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,95097904
fundInceptionDate,
annualReportExpenseRatio,
bookValue,
sharesShort,3683773
sharesPercentSharesOut,0.038599998
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.25728
netIncomeToCommon,-359329984
trailingEps,
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.16274000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.5700000000000001
sharesShortPreviousMonthDate,1589500800
floatShares,58773129
enterpriseValue,347592576
threeYearAverageReturn,
lastSplitDate,1466726400
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1592179200
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0587
sharesShortPriorMonth,4676008
category,
fiveYearAverageReturn,
regularMarketPrice,0.0158
logo_url,https://logo.clearbit.com/lilisenergy.com
