key,value
previousClose,0.255
regularMarketOpen,0.2662
twoHundredDayAverage,0.36509633
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,0.275
navPrice,
averageDailyVolume10Day,255091
totalAssets,
regularMarketPreviousClose,0.255
fiftyDayAverage,0.09106639
trailingAnnualDividendRate,
open,0.2662
averageVolume10days,255091
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,
circulatingSupply,
startDate,
regularMarketDayLow,0.24
priceHint,4
currency,USD
regularMarketVolume,8470014
lastMarket,
maxSupply,
openInterest,
marketCap,6370050
volumeAllCurrencies,
strikePrice,
averageVolume,4605065
priceToSalesTrailing12Months,
dayLow,0.24
ask,0
ytdReturn,
askSize,900
volume,8470014
fiftyTwoWeekHigh,2.75
forwardPE,-0.9615385
maxAge,1
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.036000000000000004
bid,0
tradeable,False
dividendYield,
bidSize,900
dayHigh,0.275
exchange,NGM
shortName,Lonestar Resources US Inc.
longName,Lonestar Resources US Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,LONE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_127335030
uuid,0f4a284c-dd3e-34e1-9e11-c7f00a800a36
market,us_market
regularMarketPrice,0.2662
logo_url,
