key,value
zip,74119
sector,Energy
fullTimeEmployees,280
longBusinessSummary,"Laredo Petroleum, Inc., an independent energy company, engages in the acquisition, exploration, and development of oil and natural gas properties in the Permian Basin of West Texas, the United States. The company also engages in midstream and marketing infrastructure activities, including transportation and marketing of oil and natural gas, and handling of fresh, recycled, and produced water, as well as operates natural gas lift facilities. As of December 31, 2019, it had assembled 133,512 net acres in the Permian Basin; and had total proved reserves of 293,377 thousand barrels of oil equivalent. The company was formerly known as Laredo Petroleum Holdings, Inc. and changed its name to Laredo Petroleum, Inc. in December 2013. Laredo Petroleum, Inc. was founded in 2006 and is headquartered in Tulsa, Oklahoma."
city,Tulsa
phone,918-513-4570
state,OK
country,United States
companyOfficers,[]
website,http://www.laredopetro.com
maxAge,1
address1,15 West Sixth Street
fax,918-513-4571
industry,Oil & Gas E&P
address2,Suite 900
previousClose,11.34
regularMarketOpen,12.09
twoHundredDayAverage,13.806403
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,12.62
navPrice,
averageDailyVolume10Day,787366
totalAssets,
regularMarketPreviousClose,11.34
fiftyDayAverage,9.633333
trailingAnnualDividendRate,
open,12.09
averageVolume10days,787366
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,4.62514
circulatingSupply,
startDate,
regularMarketDayLow,11.32
priceHint,2
currency,USD
regularMarketVolume,1693963
lastMarket,
maxSupply,
openInterest,
marketCap,141044656
volumeAllCurrencies,
strikePrice,
averageVolume,471916
priceToSalesTrailing12Months,0.19942714
dayLow,11.32
ask,0
ytdReturn,
askSize,3100
volume,1693963
fiftyTwoWeekHigh,61
forwardPE,1.4329269
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,6.6
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,12.62
exchange,NYQ
shortName,"Laredo Petroleum, Inc."
longName,"Laredo Petroleum, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,LPI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_132077212
uuid,d977f5b1-a56f-306f-b628-85bc1c5cbba4
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,1.887
beta3Year,
profitMargins,-1.34318
enterpriseToEbitda,3.188
52WeekChange,
morningStarRiskRating,
forwardEps,8.2
revenueQuarterlyGrowth,
sharesOutstanding,12003800
fundInceptionDate,
annualReportExpenseRatio,
bookValue,12.103
sharesShort,1867325
sharesPercentSharesOut,0.15560001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.57874
netIncomeToCommon,-949961984
trailingEps,-81.619
lastDividendValue,
SandP52WeekChange,
priceToBook,0.9708336999999999
heldPercentInsiders,0.03955
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,4.42
sharesShortPreviousMonthDate,1601424000
floatShares,8684089
enterpriseValue,1334801024
threeYearAverageReturn,
lastSplitDate,1591056000
lastSplitFactor,1:20
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.13
lastCapGain,
shortPercentOfFloat,0.2466
sharesShortPriorMonth,1159529
category,
fiveYearAverageReturn,
regularMarketPrice,12.09
logo_url,https://logo.clearbit.com/laredopetro.com
