key,value
zip,74136
sector,Energy
longBusinessSummary,"Mid-Con Energy Partners, LP acquires, owns, develops, and produces oil and natural gas properties in North America. The company's properties are primarily located in the Mid-Continent, Big Horn, and Powder River Basin regions of the United States in Oklahoma and Wyoming areas. As of December 31, 2019, its total estimated proved reserves were 25.6 million barrel of oil equivalent (MMBoe). Mid-Con Energy GP, LLC serves as the general partner of Mid-Con Energy Partners, LP. The company was founded in 2011 and is headquartered in Tulsa, Oklahoma."
city,Tulsa
phone,918-743-7575
state,OK
country,United States
companyOfficers,[]
website,http://www.midconenergypartners.com
maxAge,1
address1,2431 East 61st Street
industry,Oil & Gas E&P
address2,Suite 850
previousClose,2.77
regularMarketOpen,2.83
twoHundredDayAverage,2.7756114
trailingAnnualDividendYield,0
payoutRatio,0
volume24Hr,
regularMarketDayHigh,3.05
navPrice,
averageDailyVolume10Day,91650
totalAssets,
regularMarketPreviousClose,2.77
fiftyDayAverage,2.3344445
trailingAnnualDividendRate,0
open,2.83
averageVolume10days,91650
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1438646400
beta,1.074971
circulatingSupply,
startDate,
regularMarketDayLow,2.76
priceHint,4
currency,USD
regularMarketVolume,226508
lastMarket,
maxSupply,
openInterest,
marketCap,41789580
volumeAllCurrencies,
strikePrice,
averageVolume,341104
priceToSalesTrailing12Months,0.95898247
dayLow,2.76
ask,0
ytdReturn,
askSize,1800
volume,226508
fiftyTwoWeekHigh,8.8
forwardPE,2.92
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.2
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,3.05
exchange,NCM
shortName,"Mid-Con Energy Partners, LP"
longName,"Mid-Con Energy Partners, LP"
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MCEP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_139317869
uuid,bb95f725-4968-3824-9a8a-a81310a425bd
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.563
beta3Year,
profitMargins,-0.46949002
enterpriseToEbitda,7.248
52WeekChange,
morningStarRiskRating,
forwardEps,1
revenueQuarterlyGrowth,
sharesOutstanding,14311500
fundInceptionDate,
annualReportExpenseRatio,
bookValue,5.464
sharesShort,160829
sharesPercentSharesOut,0.0112
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.051020004
netIncomeToCommon,-22802000
trailingEps,-4.032
lastDividendValue,
SandP52WeekChange,
priceToBook,0.534407
heldPercentInsiders,0.61936
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.30000000000000004
sharesShortPreviousMonthDate,1601424000
floatShares,12971677
enterpriseValue,111669648
threeYearAverageReturn,
lastSplitDate,1586736000
lastSplitFactor,1:20
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-22.34
lastCapGain,
shortPercentOfFloat,0.0115
sharesShortPriorMonth,24067
category,
fiveYearAverageReturn,
regularMarketPrice,2.83
logo_url,https://logo.clearbit.com/midconenergypartners.com
