key,value
zip,77002
sector,Energy
fullTimeEmployees,124
longBusinessSummary,"Contango Oil & Gas Company, an independent oil and natural gas company, acquires, explores, develops, exploits, and produces crude oil and natural gas properties in the shallow waters of the Gulf of Mexico and onshore properties in Texas, Oklahoma, Louisiana, and Wyoming in the United States. As of December 31, 2019, it had proved reserves of approximately 316.4 billion cubic feet equivalent, including 131.3 billion cubic feet of natural gas, 19.1 million barrels of crude oil and condensate, and 11.8 million barrels of natural gas liquids. The company was founded in 1986 and is based in Houston, Texas."
city,Houston
phone,713 236 7400
state,TX
country,United States
companyOfficers,[]
website,http://www.contango.com
maxAge,1
address1,717 Texas Avenue
fax,713 236 4424
industry,Oil & Gas E&P
address2,Suite 2900
previousClose,1.6400000000000001
regularMarketOpen,1.72
twoHundredDayAverage,1.9970504
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.79
navPrice,
averageDailyVolume10Day,723000
totalAssets,
regularMarketPreviousClose,1.6400000000000001
fiftyDayAverage,1.4088889
trailingAnnualDividendRate,
open,1.72
averageVolume10days,723000
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1354752000
beta,2.612175
circulatingSupply,
startDate,
regularMarketDayLow,1.58
priceHint,4
currency,USD
regularMarketVolume,1791313
lastMarket,
maxSupply,
openInterest,
marketCap,264760032
volumeAllCurrencies,
strikePrice,
averageVolume,577600
priceToSalesTrailing12Months,2.1889136
dayLow,1.58
ask,0
ytdReturn,
askSize,1200
volume,1791313
fiftyTwoWeekHigh,4.79
forwardPE,-8.299999
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.84
bid,0
tradeable,False
dividendYield,
bidSize,3100
dayHigh,1.79
exchange,ASE
shortName,Contango Oil & Gas Company
longName,Contango Oil & Gas Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MCF
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_415708
uuid,78c433d8-b82e-3b15-9e27-4d557778d4e9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.76
beta3Year,
profitMargins,-2.30228
enterpriseToEbitda,8.672
52WeekChange,
morningStarRiskRating,
forwardEps,-0.2
revenueQuarterlyGrowth,
sharesOutstanding,159494000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.161
sharesShort,8546763
sharesPercentSharesOut,0.053600002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.36776000000000003
netIncomeToCommon,-278472992
trailingEps,-2.224
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.46749002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,16.66
sharesShortPreviousMonthDate,1601424000
floatShares,93967321
enterpriseValue,333825952
threeYearAverageReturn,
lastSplitDate,975888000
lastSplitFactor,1:2
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0717
sharesShortPriorMonth,8280241
category,
fiveYearAverageReturn,
regularMarketPrice,1.72
logo_url,https://logo.clearbit.com/contango.com
