key,value
zip,77056-2723
sector,Energy
fullTimeEmployees,2000
longBusinessSummary,"Marathon Oil Corporation operates as an independent exploration and production company in the United States and Equatorial Guinea. The company engages in the exploration, production, and marketing of crude oil and condensate, natural gas liquids, and natural gas; and the production and marketing of products manufactured from natural gas, such as liquefied natural gas and methanol, as well as owns and operates 32 central gathering and treating facilities and the Sugarloaf gathering system, a 42-mile natural gas pipeline through Karnes and Atascosa Counties. As of December 31, 2019, it had estimated proved developed reserves totaling 721 million barrels of oil equivalent (mmboe); and estimated proved undeveloped reserves totaling 484 mmboe. The company was formerly known as USX Corporation and changed its name to Marathon Oil Corporation in July 2001. Marathon Oil Corporation was founded in 1887 and is headquartered in Houston, Texas."
city,Houston
phone,713 629 6600
state,TX
country,United States
companyOfficers,[]
website,http://www.marathonoil.com
maxAge,1
address1,5555 San Felipe Street
industry,Oil & Gas E&P
previousClose,6.17
regularMarketOpen,6.5
twoHundredDayAverage,5.313453
trailingAnnualDividendYield,0.012965964
payoutRatio,
volume24Hr,
regularMarketDayHigh,6.63
navPrice,
averageDailyVolume10Day,33582533
totalAssets,
regularMarketPreviousClose,6.17
fiftyDayAverage,4.533889
trailingAnnualDividendRate,0.08
open,6.5
averageVolume10days,33582533
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1605571200
beta,3.2553549999999998
circulatingSupply,
startDate,
regularMarketDayLow,6.34
priceHint,2
currency,USD
regularMarketVolume,41208792
lastMarket,
maxSupply,
openInterest,
marketCap,5091571712
volumeAllCurrencies,
strikePrice,
averageVolume,28584152
priceToSalesTrailing12Months,1.4415548999999999
dayLow,6.34
ask,0
ytdReturn,
askSize,27000
volume,41208792
fiftyTwoWeekHigh,14.07
forwardPE,-9.626865
fromCurrency,
fiveYearAvgDividendYield,2.07
fiftyTwoWeekLow,3.02
bid,0
tradeable,False
dividendYield,
bidSize,2200
dayHigh,6.63
exchange,NYQ
shortName,Marathon Oil Corporation
longName,Marathon Oil Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MRO
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_314842
uuid,ac586aa5-d45b-3ae8-9473-98f63ee14b4e
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.7800000000000002
beta3Year,
profitMargins,-0.32077998
enterpriseToEbitda,5.192
52WeekChange,
morningStarRiskRating,
forwardEps,-0.67
revenueQuarterlyGrowth,
sharesOutstanding,789390976
fundInceptionDate,
annualReportExpenseRatio,
bookValue,13.787
sharesShort,71097995
sharesPercentSharesOut,0.09
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.7025299700000001
netIncomeToCommon,-1132999936
trailingEps,-1.439
lastDividendValue,
SandP52WeekChange,
priceToBook,0.46783199999999997
heldPercentInsiders,0.0028400002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.61
sharesShortPreviousMonthDate,1601424000
floatShares,723572055
enterpriseValue,9818546176
threeYearAverageReturn,
lastSplitDate,1309478400
lastSplitFactor,10000:5965
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.46
lastCapGain,
shortPercentOfFloat,0.1165
sharesShortPriorMonth,39336343
category,
fiveYearAverageReturn,
regularMarketPrice,6.5
logo_url,https://logo.clearbit.com/marathonoil.com
