key,value
zip,75240
sector,Energy
fullTimeEmployees,304
longBusinessSummary,"Matador Resources Company, an independent energy company, engages in the exploration, development, production, and acquisition of oil and natural gas resources in the United States. It operates in two segments, Exploration and Production; and Midstream. The company primarily holds interests in the Wolfcamp and Bone Spring plays in the Delaware Basin in Southeast New Mexico and West Texas. It also operates the Eagle Ford shale play in South Texas; and the Haynesville shale and Cotton Valley plays in Northwest Louisiana. In addition, the company conducts midstream operations in support of its exploration, development, and production operations; provides natural gas processing and oil transportation services; and offers oil, natural gas, and salt water gathering services, as well as salt water disposal services to third parties. As of December 31, 2019, its estimated total proved oil and natural gas reserves were 252.5 million barrels of oil equivalent, including 148.0 million stock tank barrels of oil and 627.2 billion cubic feet of natural gas. The company was formerly known as Matador Holdco, Inc. and changed its name to Matador Resources Company in August 2011. Matador Resources Company was founded in 2003 and is headquartered in Dallas, Texas."
city,Dallas
phone,972 371 5200
state,TX
country,United States
companyOfficers,[]
website,http://www.matadorresources.com
maxAge,1
address1,One Lincoln Centre
fax,972 371 5201
industry,Oil & Gas E&P
address2,Suite 1500 5400 LBJ Freeway
previousClose,10.63
regularMarketOpen,11.17
twoHundredDayAverage,8.774244
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,11.78
navPrice,
averageDailyVolume10Day,2909416
totalAssets,
regularMarketPreviousClose,10.63
fiftyDayAverage,8.370556
trailingAnnualDividendRate,
open,11.17
averageVolume10days,2909416
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,4.881059
circulatingSupply,
startDate,
regularMarketDayLow,11.0925
priceHint,2
currency,USD
regularMarketVolume,3505020
lastMarket,
maxSupply,
openInterest,
marketCap,1362319360
volumeAllCurrencies,
strikePrice,
averageVolume,3027990
priceToSalesTrailing12Months,1.6194663999999999
dayLow,11.0925
ask,0
ytdReturn,
askSize,800
volume,3505020
fiftyTwoWeekHigh,19.83
forwardPE,14.3950615
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.11
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,11.78
exchange,NYQ
shortName,Matador Resources Company
longName,Matador Resources Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MTDR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_11888172
uuid,63b8c402-874d-35bc-a877-0b6f043bccf9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.093
beta3Year,
profitMargins,-0.57028
enterpriseToEbitda,6.233
52WeekChange,
morningStarRiskRating,
forwardEps,0.81
revenueQuarterlyGrowth,
sharesOutstanding,116837000
fundInceptionDate,
annualReportExpenseRatio,
bookValue,11.742
sharesShort,24080736
sharesPercentSharesOut,0.2061
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.86677
netIncomeToCommon,-479732000
trailingEps,-4.129
lastDividendValue,
SandP52WeekChange,
priceToBook,0.9930165400000001
heldPercentInsiders,0.059210000000000006
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,8.47
sharesShortPreviousMonthDate,1601424000
floatShares,109366220
enterpriseValue,3442967552
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,3.5
lastCapGain,
shortPercentOfFloat,0.25190002
sharesShortPriorMonth,22191685
category,
fiveYearAverageReturn,
regularMarketPrice,11.17
logo_url,https://logo.clearbit.com/matadorresources.com
