key,value
zip,71730-7000
sector,Energy
fullTimeEmployees,822
longBusinessSummary,"Murphy Oil Corporation operates as an oil and natural gas exploration and production company in the United States, Canada, and internationally. It explores for and produces crude oil, natural gas, and natural gas liquids. The company was formerly known as Murphy Corporation and changed its name to Murphy Oil Corporation in 1964. Murphy Oil Corporation was incorporated in 1950 and is headquartered in El Dorado, Arkansas."
city,El Dorado
phone,870 862 6411
state,AR
country,United States
companyOfficers,[]
website,http://www.murphyoilcorp.com
maxAge,1
address1,300 Peach Street
industry,Oil & Gas E&P
address2,PO Box 7000
previousClose,10.71
regularMarketOpen,11.3
twoHundredDayAverage,11.866762
trailingAnnualDividendYield,0.070028014
payoutRatio,
volume24Hr,
regularMarketDayHigh,11.69
navPrice,
averageDailyVolume10Day,4265550
totalAssets,
regularMarketPreviousClose,10.71
fiftyDayAverage,8.552222
trailingAnnualDividendRate,0.75
open,11.3
averageVolume10days,4265550
expireDate,
yield,
algorithm,
dividendRate,0.5
exDividendDate,1605225600
beta,3.36133
circulatingSupply,
startDate,
regularMarketDayLow,11.055
priceHint,2
currency,USD
regularMarketVolume,6693805
lastMarket,
maxSupply,
openInterest,
marketCap,1755636736
volumeAllCurrencies,
strikePrice,
averageVolume,4902796
priceToSalesTrailing12Months,0.8435768
dayLow,11.055
ask,0
ytdReturn,
askSize,2900
volume,6693805
fiftyTwoWeekHigh,28.12
forwardPE,-10.4862385
fromCurrency,
fiveYearAvgDividendYield,4.77
fiftyTwoWeekLow,4.5
bid,0
tradeable,False
dividendYield,0.046700000000000005
bidSize,3000
dayHigh,11.69
exchange,NYQ
shortName,Murphy Oil Corporation
longName,Murphy Oil Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MUR
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_290060
uuid,f0b2399f-d4bf-33d1-96a8-e7bf52b27483
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.58
beta3Year,
profitMargins,-0.50383
enterpriseToEbitda,4.474
52WeekChange,
morningStarRiskRating,
forwardEps,-1.09
revenueQuarterlyGrowth,
sharesOutstanding,153599008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,28.278
sharesShort,16280106
sharesPercentSharesOut,0.10600000600000001
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.83032995
netIncomeToCommon,-1078513024
trailingEps,-6.8260000000000005
lastDividendValue,
SandP52WeekChange,
priceToBook,0.40420115
heldPercentInsiders,0.054580003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.51
sharesShortPreviousMonthDate,1601424000
floatShares,144408819
enterpriseValue,5369756160
threeYearAverageReturn,
lastSplitDate,1378166400
lastSplitFactor,1158:1000
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,16.41
lastCapGain,
shortPercentOfFloat,0.18150000000000002
sharesShortPriorMonth,19470427
category,
fiveYearAverageReturn,
regularMarketPrice,11.3
logo_url,https://logo.clearbit.com/murphyoilcorp.com
