key,value
zip,79701
sector,Energy
fullTimeEmployees,2
longBusinessSummary,"Mexco Energy Corporation, an independent oil and gas company, engages in the acquisition, exploration, development, and production of natural gas, crude oil, condensate, and natural gas liquids in the United States. It owns partial interests in approximately 6,300 producing wells located in the states of Texas, New Mexico, Oklahoma, Louisiana, Ohio, Alabama, Mississippi, Arkansas, Wyoming, Kansas, Colorado, Montana, Virginia, and North Dakota. As of March 31, 2020, the company's total estimated proved reserves were approximately 1.816 million barrels of oil equivalent. It also owned leasehold mineral and royalty interests in approximately 3,402 net acres. The company was formerly known as Miller Oil Company and changed its name to Mexco Energy Corporation in April 1980. Mexco Energy Corporation was founded in 1972 and is based in Midland, Texas."
city,Midland
phone,432 682 1119
state,TX
country,United States
companyOfficers,[]
website,http://www.mexcoenergy.com
maxAge,1
address1,415 West Wall
fax,432 682 1123
industry,Oil & Gas E&P
address2,Suite 475
previousClose,5.4
regularMarketOpen,5.75
twoHundredDayAverage,4.4927340000000004
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,7.2
navPrice,
averageDailyVolume10Day,19750
totalAssets,
regularMarketPreviousClose,5.4
fiftyDayAverage,5.2981668
trailingAnnualDividendRate,
open,5.75
averageVolume10days,19750
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.8511829999999998
circulatingSupply,
startDate,
regularMarketDayLow,5.584
priceHint,2
currency,USD
regularMarketVolume,268646
lastMarket,
maxSupply,
openInterest,
marketCap,13665454
volumeAllCurrencies,
strikePrice,
averageVolume,255840
priceToSalesTrailing12Months,5.6479015
dayLow,5.584
ask,0
ytdReturn,
askSize,1200
volume,268646
fiftyTwoWeekHigh,14.63
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,1.53
bid,0
tradeable,False
dividendYield,
bidSize,1000
dayHigh,7.2
exchange,ASE
shortName,Mexco Energy Corporation
longName,Mexco Energy Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,MXC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_3170112
uuid,3029fc71-b966-366f-b8e7-09793a1801aa
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,6.084
beta3Year,
profitMargins,-0.1257
enterpriseToEbitda,22.171
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,2051870
fundInceptionDate,
annualReportExpenseRatio,
bookValue,3.948
sharesShort,20180
sharesPercentSharesOut,0.0099
fundFamily,
lastFiscalYearEnd,1585612800
heldPercentInstitutions,0.00826
netIncomeToCommon,-304145
trailingEps,-0.15
lastDividendValue,
SandP52WeekChange,
priceToBook,1.6869301
heldPercentInsiders,0.6015600000000001
nextFiscalYearEnd,1648684800
mostRecentQuarter,1601424000
shortRatio,0.04
sharesShortPreviousMonthDate,1601424000
floatShares,822552
enterpriseValue,14720751
threeYearAverageReturn,
lastSplitDate,1013644800
lastSplitFactor,11:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.020299999000000003
sharesShortPriorMonth,23064
category,
fiveYearAverageReturn,
regularMarketPrice,5.75
logo_url,https://logo.clearbit.com/mexcoenergy.com
