key,value
zip,14221
sector,Energy
fullTimeEmployees,2162
longBusinessSummary,"National Fuel Gas Company operates as a diversified energy company. It operates through four segments: Exploration and Production, Pipeline and Storage, Gathering, and Utility. The Exploration and Production segment explores for, develops, and produces natural gas and oil in California and in the Appalachian region of the United States. As of September 30, 2020, it had proved developed and undeveloped reserves of 22,100 thousand barrels of oil and 3,325,085 million cubic feet of natural gas. The Pipeline and Storage segment provides interstate natural gas transportation and storage services through an integrated gas pipeline systems in Pennsylvania and New York; and owns and operates 31 underground natural gas storage fields. This segment also transports natural gas for National Fuel Gas Distribution Corporation, as well as for other utilities, industrial companies, and power producers in New York State; and owns and operates the Empire Pipeline. The Gathering segment builds, owns, and operates natural gas processing and pipeline gathering facilities in the Appalachian region, as well as provides gathering services to Seneca Resources Company, LLC. The Utility segment sells natural gas or provides natural gas transportation services to approximately 747,000 customers in Buffalo, Niagara Falls, and Jamestown, New York; and Erie and Sharon, Pennsylvania. The company markets gas to industrial, wholesale, commercial, public authority, and residential customers primarily in western and central New York, and northwestern Pennsylvania. As of September 30, 2020, the company also owned approximately 95,000 acres of timber property; and managed approximately 2,500 additional acres of timber cutting rights. National Fuel Gas Company was founded in 1902 and is headquartered in Williamsville, New York."
city,Williamsville
phone,716-857-7000
state,NY
country,United States
companyOfficers,[]
website,http://www.nationalfuel.com
maxAge,1
address1,6363 Main Street
industry,Oil & Gas Integrated
previousClose,42.06
regularMarketOpen,42.66
twoHundredDayAverage,41.979855
trailingAnnualDividendYield,0.041844983
payoutRatio,
volume24Hr,
regularMarketDayHigh,43.48
navPrice,
averageDailyVolume10Day,393050
totalAssets,
regularMarketPreviousClose,42.06
fiftyDayAverage,41.378056
trailingAnnualDividendRate,1.76
open,42.66
averageVolume10days,393050
expireDate,
yield,
algorithm,
dividendRate,1.78
exDividendDate,1601337600
beta,0.718151
circulatingSupply,
startDate,
regularMarketDayLow,42.5986
priceHint,2
currency,USD
regularMarketVolume,327618
lastMarket,
maxSupply,
openInterest,
marketCap,3926075392
volumeAllCurrencies,
strikePrice,
averageVolume,470760
priceToSalesTrailing12Months,2.5390277
dayLow,42.5986
ask,0
ytdReturn,
askSize,1000
volume,327618
fiftyTwoWeekHigh,47.7
forwardPE,10.276191
fromCurrency,
fiveYearAvgDividendYield,3.29
fiftyTwoWeekLow,31.58
bid,0
tradeable,False
dividendYield,0.042300000000000004
bidSize,1200
dayHigh,43.48
exchange,NYQ
shortName,National Fuel Gas Company
longName,National Fuel Gas Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,NFG
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_290898
uuid,44ab8f30-5981-3766-a243-3bcb1be47b0f
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.258
beta3Year,
profitMargins,-0.08004
enterpriseToEbitda,8.656
52WeekChange,
morningStarRiskRating,
forwardEps,4.2
revenueQuarterlyGrowth,
sharesOutstanding,90954304
fundInceptionDate,
annualReportExpenseRatio,
bookValue,21.681
sharesShort,2784096
sharesPercentSharesOut,0.030600000000000002
fundFamily,
lastFiscalYearEnd,1601424000
heldPercentInstitutions,0.75311995
netIncomeToCommon,-123772000
trailingEps,-1.4100000000000001
lastDividendValue,
SandP52WeekChange,
priceToBook,1.9906831
heldPercentInsiders,0.020790000000000003
nextFiscalYearEnd,1664496000
mostRecentQuarter,1601424000
shortRatio,5.57
sharesShortPreviousMonthDate,1601424000
floatShares,89299087
enterpriseValue,6584829440
threeYearAverageReturn,
lastSplitDate,1000080000
lastSplitFactor,2:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,1.34
lastCapGain,
shortPercentOfFloat,0.04
sharesShortPriorMonth,3154561
category,
fiveYearAverageReturn,
regularMarketPrice,42.66
logo_url,https://logo.clearbit.com/nationalfuel.com
