key,value
zip,77002
sector,Basic Materials
fullTimeEmployees,447
longBusinessSummary,"Oasis Petroleum Inc., an independent exploration and production company, focuses on the acquisition and development of onshore unconventional oil and natural gas resources in the North Dakota and Montana regions of the Williston Basin and the Texas region of the Delaware Basin. As of December 31, 2019, the company had 408,117 net leasehold acres in the Williston Basin; and 24,995 net leasehold acres in the Delaware Basin, as well as approximately 286.4 million barrels of oil equivalent of estimated net proved reserves. It also operates midstream services business. The company sells its crude oil and natural gas to refiners, marketers, and other purchasers that have access to pipeline and rail facilities. Oasis Petroleum Inc. was founded in 2007 and is headquartered in Houston, Texas."
city,Houston
phone,281 404 9500
state,TX
country,United States
companyOfficers,[]
website,http://www.oasispetroleum.com
maxAge,1
address1,1001 Fannin Street
industry,Independent Oil & Gas
address2,Suite 1500
previousClose,31.82
regularMarketOpen,33.22
twoHundredDayAverage,0.9787079
trailingAnnualDividendYield,
payoutRatio,
volume24Hr,
regularMarketDayHigh,33.22
navPrice,
averageDailyVolume10Day,2898948
totalAssets,
regularMarketPreviousClose,31.82
fiftyDayAverage,1.8625112
trailingAnnualDividendRate,
open,33.22
averageVolume10days,2898948
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.93912
circulatingSupply,
startDate,
regularMarketDayLow,31.46
priceHint,2
currency,USD
regularMarketVolume,414669
lastMarket,
maxSupply,
openInterest,
marketCap,33841276
volumeAllCurrencies,
strikePrice,
averageVolume,23548447
priceToSalesTrailing12Months,0.027212938000000002
dayLow,31.46
ask,0
ytdReturn,
askSize,1000
volume,414669
fiftyTwoWeekHigh,33.22
forwardPE,-73.86364
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.0721
bid,0
tradeable,False
dividendYield,
bidSize,2900
dayHigh,33.22
exchange,NMS
shortName,Oasis Petroleum Inc.
longName,Oasis Petroleum Inc.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,OAS
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_37644463
uuid,ed16caa1-a346-3c82-adfa-26a6583ec15b
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,9.142
beta3Year,
profitMargins,0
enterpriseToEbitda,25.23
52WeekChange,
morningStarRiskRating,
forwardEps,-0.44
revenueQuarterlyGrowth,
sharesOutstanding,0
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-2.524
sharesShort,
sharesPercentSharesOut,
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,
netIncomeToCommon,-4535908864
trailingEps,-14.32
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,
sharesShortPreviousMonthDate,
floatShares,319391773
enterpriseValue,11369214976
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,
pegRatio,-0.08
lastCapGain,
shortPercentOfFloat,
sharesShortPriorMonth,
category,
fiveYearAverageReturn,
regularMarketPrice,33.22
logo_url,https://logo.clearbit.com/oasispetroleum.com
