key,value
zip,77046-0521
sector,Energy
fullTimeEmployees,14400
longBusinessSummary,"Occidental Petroleum Corporation, together with its subsidiaries, engages in the acquisition, exploration, and development of oil and gas properties in the United States, the Middle East, and Latin America. The company operates through three segments: Oil and Gas, Chemical, and Marketing and Midstream. The Oil and Gas segment explores for, develops, and produces oil and condensate, natural gas liquids (NGLs), and natural gas. The Chemical segment manufactures and markets basic chemicals, including chlorine, caustic soda, chlorinated organics, potassium chemicals, ethylene dichloride, chlorinated isocyanurates, sodium silicates, and calcium chloride; vinyls comprising vinyl chloride monomer, polyvinyl chloride, and ethylene. The Midstream and Marketing segment gathers, processes, transports, stores, purchases, and markets oil, condensate, NGLs, natural gas, carbon dioxide, and power. This segment also trades around its assets consisting of transportation and storage capacity; and invests in entities. Occidental Petroleum Corporation was founded in 1920 and is headquartered in Houston, Texas."
city,Houston
phone,713 215 7000
state,TX
country,United States
companyOfficers,[]
website,http://www.oxy.com
maxAge,1
address1,5 Greenway Plaza
industry,Oil & Gas E&P
address2,Suite 110
previousClose,15.76
regularMarketOpen,16.97
twoHundredDayAverage,13.954964
trailingAnnualDividendYield,0.10152284
payoutRatio,
volume24Hr,
regularMarketDayHigh,17.27
navPrice,
averageDailyVolume10Day,26293916
totalAssets,
regularMarketPreviousClose,15.76
fiftyDayAverage,10.873055
trailingAnnualDividendRate,1.6
open,16.97
averageVolume10days,26293916
expireDate,
yield,
algorithm,
dividendRate,0.04
exDividendDate,1607472000
beta,1.9041709999999998
circulatingSupply,
startDate,
regularMarketDayLow,16.31
priceHint,2
currency,USD
regularMarketVolume,53059234
lastMarket,
maxSupply,
openInterest,
marketCap,15625688064
volumeAllCurrencies,
strikePrice,
averageVolume,25692772
priceToSalesTrailing12Months,0.79081374
dayLow,16.31
ask,0
ytdReturn,
askSize,3200
volume,53059234
fiftyTwoWeekHigh,47.58
forwardPE,-9.119565
fromCurrency,
fiveYearAvgDividendYield,6.8100000000000005
fiftyTwoWeekLow,8.52
bid,0
tradeable,False
dividendYield,0.0025
bidSize,28000
dayHigh,17.27
exchange,NYQ
shortName,Occidental Petroleum Corporatio
longName,Occidental Petroleum Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,OXY
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_293286
uuid,ce2f5758-857c-3429-9f74-1acb7cf874b3
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.247
beta3Year,
profitMargins,-0.7519600000000001
enterpriseToEbitda,8.164
52WeekChange,
morningStarRiskRating,
forwardEps,-1.8399999999999999
revenueQuarterlyGrowth,
sharesOutstanding,931209024
fundInceptionDate,
annualReportExpenseRatio,
bookValue,10.844
sharesShort,47468188
sharesPercentSharesOut,0.051000000000000004
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.68761003
netIncomeToCommon,-14366000128
trailingEps,-17.277
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5473995
heldPercentInsiders,0.0022600000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.02
sharesShortPreviousMonthDate,1601424000
floatShares,928667293
enterpriseValue,64148860928
threeYearAverageReturn,
lastSplitDate,1456358400
lastSplitFactor,10000:9983
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.27
lastCapGain,
shortPercentOfFloat,0.05650000300000001
sharesShortPriorMonth,46285829
category,
fiveYearAverageReturn,
regularMarketPrice,16.97
logo_url,https://logo.clearbit.com/oxy.com
