key,value
zip,80203
sector,Energy
fullTimeEmployees,540
longBusinessSummary,"PDC Energy, Inc., an independent exploration and production company, acquires, explores for, develops, and produces crude oil, natural gas, and natural gas liquids in the United States. The company's operations are primarily located in the Wattenberg Field in Colorado and the Delaware Basin in Texas. As of December 31, 2019, it owned interests in approximately 2,649 productive gross wells. The company was formerly known as Petroleum Development Corporation and changed its name to PDC Energy, Inc. in June 2012. PDC Energy, Inc. was founded in 1969 and is headquartered in Denver, Colorado."
city,Denver
phone,303 860 5800
state,CO
country,United States
companyOfficers,[]
website,http://www.pdce.com
maxAge,1
address1,1775 Sherman Street
industry,Oil & Gas E&P
address2,Suite 3000
previousClose,17.35
regularMarketOpen,18
twoHundredDayAverage,13.771439
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,19.05
navPrice,
averageDailyVolume10Day,1001300
totalAssets,
regularMarketPreviousClose,17.35
fiftyDayAverage,13.395
trailingAnnualDividendRate,
open,18
averageVolume10days,1001300
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.171364
circulatingSupply,
startDate,
regularMarketDayLow,17.83
priceHint,2
currency,USD
regularMarketVolume,1330366
lastMarket,
maxSupply,
openInterest,
marketCap,1878170624
volumeAllCurrencies,
strikePrice,
averageVolume,1439310
priceToSalesTrailing12Months,1.7215476
dayLow,17.83
ask,0
ytdReturn,
askSize,1100
volume,1330366
fiftyTwoWeekHigh,27.84
forwardPE,8.377778
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,4.51
bid,0
tradeable,False
dividendYield,
bidSize,1100
dayHigh,19.05
exchange,NMS
shortName,"PDC Energy, Inc."
longName,"PDC Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,PDCE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_296104
uuid,1c9747b0-d06b-311b-ad05-71415b1b3891
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.311
beta3Year,
profitMargins,-0.6769900000000001
enterpriseToEbitda,4.067
52WeekChange,
morningStarRiskRating,
forwardEps,2.25
revenueQuarterlyGrowth,
sharesOutstanding,99637696
fundInceptionDate,
annualReportExpenseRatio,
bookValue,26.283
sharesShort,9327498
sharesPercentSharesOut,0.0936
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,1.06065
netIncomeToCommon,-738582016
trailingEps,-8.328
lastDividendValue,
SandP52WeekChange,
priceToBook,0.7171936
heldPercentInsiders,0.012200001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,7.53
sharesShortPreviousMonthDate,1601424000
floatShares,98794738
enterpriseValue,3612262144
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,-0.11
lastCapGain,
shortPercentOfFloat,0.09430000000000001
sharesShortPriorMonth,9071632
category,
fiveYearAverageReturn,
regularMarketPrice,18
logo_url,https://logo.clearbit.com/pdce.com
