key,value
zip,78701
sector,Energy
fullTimeEmployees,496
longBusinessSummary,"Parsley Energy, Inc., an independent oil and natural gas company, engages in the acquisition, development, exploration, production, and sale of crude oil and natural gas properties in the Permian Basin in west Texas and Southeastern New Mexico. As of December 31, 2019, its acreage position consisted of 191,179 net acres, including 149,615 net acres in the Midland Basin and 41,564 net acres in the Delaware Basin; and operated 558.9 net acres of the horizontal wells and 723.1 net acres of the vertical wells, as well an estimated proved oil, natural gas, and natural gas liquid reserves of 592.3 MMBoe. The company was founded in 2008 and is headquartered in Austin, Texas."
city,Austin
phone,737 704 2300
state,TX
country,United States
companyOfficers,[]
website,http://www.parsleyenergy.com
maxAge,1
address1,303 Colorado Street
industry,Oil & Gas E&P
address2,Suite 3000
previousClose,13.12
regularMarketOpen,13.6
twoHundredDayAverage,10.558633
trailingAnnualDividendYield,0.013719513000000001
payoutRatio,
volume24Hr,
regularMarketDayHigh,13.93
navPrice,
averageDailyVolume10Day,5815333
totalAssets,
regularMarketPreviousClose,13.12
fiftyDayAverage,10.634167
trailingAnnualDividendRate,0.18
open,13.6
averageVolume10days,5815333
expireDate,
yield,
algorithm,
dividendRate,0.2
exDividendDate,1607299200
beta,2.204622
circulatingSupply,
startDate,
regularMarketDayLow,13.535
priceHint,2
currency,USD
regularMarketVolume,7895519
lastMarket,
maxSupply,
openInterest,
marketCap,5742951936
volumeAllCurrencies,
strikePrice,
averageVolume,9103270
priceToSalesTrailing12Months,3.2726114
dayLow,13.535
ask,0
ytdReturn,
askSize,4000
volume,7895519
fiftyTwoWeekHigh,20.125
forwardPE,12.879629
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,3.92
bid,0
tradeable,False
dividendYield,0.0166
bidSize,3200
dayHigh,13.93
exchange,NYQ
shortName,"Parsley Energy, Inc."
longName,"Parsley Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,PE
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_261915062
uuid,3acf8383-4396-3a1c-8787-07132ead62b8
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,4.766
beta3Year,
profitMargins,-2.12926
enterpriseToEbitda,6.632
52WeekChange,
morningStarRiskRating,
forwardEps,1.08
revenueQuarterlyGrowth,
sharesOutstanding,378663008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,10.079
sharesShort,36346846
sharesPercentSharesOut,0.088
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.8702000000000001
netIncomeToCommon,-3736546048
trailingEps,-10.675
lastDividendValue,
SandP52WeekChange,
priceToBook,1.3800972
heldPercentInsiders,0.20663
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,3.04
sharesShortPreviousMonthDate,1601424000
floatShares,300367019
enterpriseValue,8362897408
threeYearAverageReturn,
lastSplitDate,1396483200
lastSplitFactor,4:1
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,-0.811
dateShortInterest,1604016000
pegRatio,0.87
lastCapGain,
shortPercentOfFloat,0.1263
sharesShortPriorMonth,36588997
category,
fiveYearAverageReturn,
regularMarketPrice,13.6
logo_url,https://logo.clearbit.com/parsleyenergy.com
