key,value
zip,77079
sector,Energy
fullTimeEmployees,16
longBusinessSummary,"PEDEVCO Corp., an oil and gas company, engages in the acquisition, development, and production of oil and natural gas assets in the United States. As of December 31, 2018, the company held approximately 23,441 net acres in the Permian Basin Asset located in Chaves and Roosevelt Counties, New Mexico; and approximately 11,948 net D-J Basin acres in D-J Basin Asset situated in Weld and Morgan Counties, Colorado. It had interests in 337 net wells in Permian Basin Asset; and 21.5 net wells in D-J Basin Asset. The company was formerly known as Blast Energy Services, Inc. and changed its name to PEDEVCO Corp. in July 2012. PEDEVCO Corp. is headquartered in Houston, Texas."
city,Houston
phone,713 221 1768
state,TX
country,United States
companyOfficers,[]
website,http://www.pedevco.com
maxAge,1
address1,Energy Center II
fax,713 236 8441
industry,Oil & Gas E&P
address2,Suite 210 575 N. Dairy Ashford
previousClose,1.3599999999999999
regularMarketOpen,1.43
twoHundredDayAverage,1.0796978
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,1.499
navPrice,
averageDailyVolume10Day,214016
totalAssets,
regularMarketPreviousClose,1.3599999999999999
fiftyDayAverage,1.5365278
trailingAnnualDividendRate,
open,1.43
averageVolume10days,214016
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,1.418263
circulatingSupply,
startDate,
regularMarketDayLow,1.3599999999999999
priceHint,4
currency,USD
regularMarketVolume,592988
lastMarket,
maxSupply,
openInterest,
marketCap,103622512
volumeAllCurrencies,
strikePrice,
averageVolume,2957587
priceToSalesTrailing12Months,10.249507
dayLow,1.3599999999999999
ask,0
ytdReturn,
askSize,800
volume,592988
fiftyTwoWeekHigh,2.55
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.667
bid,0
tradeable,False
dividendYield,
bidSize,3100
dayHigh,1.499
exchange,ASE
shortName,Pedevco Corp.
longName,PEDEVCO Corp.
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,PED
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_142460419
uuid,9758d308-e393-38fb-b803-e0dc79d92774
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,9.489
beta3Year,
profitMargins,-1.0912
enterpriseToEbitda,-58.462
52WeekChange,
morningStarRiskRating,
forwardEps,0
revenueQuarterlyGrowth,
sharesOutstanding,72463296
fundInceptionDate,
annualReportExpenseRatio,
bookValue,1.3559999999999999
sharesShort,485495
sharesPercentSharesOut,0.0067000003
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.013030000000000002
netIncomeToCommon,-11032000
trailingEps,-0.156
lastDividendValue,
SandP52WeekChange,
priceToBook,1.0545722
heldPercentInsiders,0.8840100000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,0.23
sharesShortPreviousMonthDate,1601424000
floatShares,8428211
enterpriseValue,95935576
threeYearAverageReturn,
lastSplitDate,1499644800
lastSplitFactor,1:10
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.0541
sharesShortPriorMonth,345823
category,
fiveYearAverageReturn,
regularMarketPrice,1.43
logo_url,https://logo.clearbit.com/pedevco.com
