key,value
zip,77084
sector,Energy
fullTimeEmployees,94
longBusinessSummary,"Penn Virginia Corporation, an independent oil and gas company, engages in the onshore exploration, development, and production of crude oil, natural gas liquids, and natural gas in the United States. It primarily operates wells in the Eagle Ford Shale field in South Texas. As of December 31, 2019, it had total proved reserves of approximately 133 million barrels of oil equivalent; and 510 gross productive wells, as well as owned approximately 100,200 gross acres of leasehold and royalty interests. Penn Virginia Corporation was founded in 1882 and is headquartered in Houston, Texas."
city,Houston
phone,713 722 6500
state,TX
country,United States
companyOfficers,[]
website,http://www.pennvirginia.com
maxAge,1
address1,16285 Park Ten Place
fax,713 722 6609
industry,Oil & Gas E&P
address2,Suite 500
previousClose,9.46
regularMarketOpen,9.95
twoHundredDayAverage,10.026798
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,10.5079
navPrice,
averageDailyVolume10Day,746016
totalAssets,
regularMarketPreviousClose,9.46
fiftyDayAverage,8.9025
trailingAnnualDividendRate,
open,9.95
averageVolume10days,746016
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,3.826951
circulatingSupply,
startDate,
regularMarketDayLow,9.5
priceHint,2
currency,USD
regularMarketVolume,1156411
lastMarket,
maxSupply,
openInterest,
marketCap,148051888
volumeAllCurrencies,
strikePrice,
averageVolume,560852
priceToSalesTrailing12Months,0.46868327
dayLow,9.5
ask,0
ytdReturn,
askSize,1100
volume,1156411
fiftyTwoWeekHigh,32.3
forwardPE,10.361702
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.99
bid,0
tradeable,False
dividendYield,
bidSize,800
dayHigh,10.5079
exchange,NMS
shortName,Penn Virginia Corporation
longName,Penn Virginia Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,PVAC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_295509
uuid,84d82304-92f2-3cb8-988a-810403de0ad0
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.075
beta3Year,
profitMargins,-0.54366
enterpriseToEbitda,2.177
52WeekChange,
morningStarRiskRating,
forwardEps,0.9400000000000001
revenueQuarterlyGrowth,
sharesOutstanding,15200400
fundInceptionDate,
annualReportExpenseRatio,
bookValue,22.876
sharesShort,2009150
sharesPercentSharesOut,0.1322
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.74628997
netIncomeToCommon,-171735008
trailingEps,-11.33
lastDividendValue,
SandP52WeekChange,
priceToBook,0.42577374
heldPercentInsiders,0.013630000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,6.02
sharesShortPreviousMonthDate,1601424000
floatShares,14072107
enterpriseValue,655535232
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.19
lastCapGain,
shortPercentOfFloat,0.1766
sharesShortPriorMonth,2283918
category,
fiveYearAverageReturn,
regularMarketPrice,9.95
logo_url,https://logo.clearbit.com/pennvirginia.com
