key,value
zip,75039
sector,Energy
fullTimeEmployees,2323
longBusinessSummary,"Pioneer Natural Resources Company operates as an independent oil and gas exploration and production company in the United States. The company explores for, develops, and produces oil, natural gas liquids (NGLs), and gas. It has operations primarily in the Permian Basin in West Texas. As of December 31, 2019, the company had proved undeveloped reserves and proved developed non-producing reserves of 39 million barrels of oil, 16 million barrels of NGLs, and 83 billion cubic feet of gas; and owned interests in 11 gas processing plants. Pioneer Natural Resources Company was founded in 1997 and is headquartered in Irving, Texas."
city,Irving
phone,972 444 9001
state,TX
country,United States
companyOfficers,[]
website,http://www.pxd.com
maxAge,1
address1,777 Hidden Ridge
industry,Oil & Gas E&P
previousClose,104.5
regularMarketOpen,108.31
twoHundredDayAverage,94.482086
trailingAnnualDividendYield,0.02
payoutRatio,2.0291
volume24Hr,
regularMarketDayHigh,111.43
navPrice,
averageDailyVolume10Day,1683133
totalAssets,
regularMarketPreviousClose,104.5
fiftyDayAverage,87.61056
trailingAnnualDividendRate,2.09
open,108.31
averageVolume10days,1683133
expireDate,
yield,
algorithm,
dividendRate,2.2
exDividendDate,1609286400
beta,1.864148
circulatingSupply,
startDate,
regularMarketDayLow,107.65
priceHint,2
currency,USD
trailingPE,106.964455
regularMarketVolume,2837768
lastMarket,
maxSupply,
openInterest,
marketCap,18306719744
volumeAllCurrencies,
strikePrice,
averageVolume,1878396
priceToSalesTrailing12Months,2.3927226
dayLow,107.65
ask,0
ytdReturn,
askSize,800
volume,2837768
fiftyTwoWeekHigh,159.01
forwardPE,21.790606
fromCurrency,
fiveYearAvgDividendYield,0.43
fiftyTwoWeekLow,48.62
bid,0
tradeable,False
dividendYield,0.0211
bidSize,1000
dayHigh,111.43
exchange,NYQ
shortName,Pioneer Natural Resources Compa
longName,Pioneer Natural Resources Company
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,PXD
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_295224
uuid,45d9eec3-b269-3316-bcbd-b145de6455e5
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.521
beta3Year,
profitMargins,0.022739999
enterpriseToEbitda,8.419
52WeekChange,
morningStarRiskRating,
forwardEps,5.11
revenueQuarterlyGrowth,
sharesOutstanding,164407008
fundInceptionDate,
annualReportExpenseRatio,
bookValue,70.887
sharesShort,4861606
sharesPercentSharesOut,0.0296
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.9297700000000001
netIncomeToCommon,173000000
trailingEps,1.041
lastDividendValue,
SandP52WeekChange,
priceToBook,1.5708098
heldPercentInsiders,0.0094
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,2.21
sharesShortPreviousMonthDate,1601424000
floatShares,162744793
enterpriseValue,19288526848
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,5.02
lastCapGain,
shortPercentOfFloat,0.0298
sharesShortPriorMonth,3625076
category,
fiveYearAverageReturn,
regularMarketPrice,108.31
logo_url,https://logo.clearbit.com/pxd.com
