key,value
zip,80265
sector,Energy
fullTimeEmployees,248
longBusinessSummary,"QEP Resources, Inc. operates as a crude oil and natural gas exploration and production company in the United States. The company conducts exploration and production activities in the Permian Basin in Western Texas; and Williston Basin in North Dakota. As of December 31, 2019, it had estimated proved reserves of approximately 382.3 million barrels of oil equivalent. The company sells oil, condensate, gas, and natural gas liquids to refiners, marketers, midstream service providers, wholesale marketers, industrial users, local distribution companies, and utility and other companies. QEP Resources, Inc. was incorporated in 2010 and is headquartered in Denver, Colorado."
city,Denver
phone,303-672-6900
state,CO
country,United States
companyOfficers,[]
website,http://www.qepres.com
maxAge,1
address1,1050 17th Street
fax,303-294-9632
industry,Oil & Gas E&P
address2,Suite 800
previousClose,1.53
regularMarketOpen,1.69
twoHundredDayAverage,1.2030935
trailingAnnualDividendYield,0.026143791000000003
payoutRatio,0.5
volume24Hr,
regularMarketDayHigh,1.87
navPrice,
averageDailyVolume10Day,5727316
totalAssets,
regularMarketPreviousClose,1.53
fiftyDayAverage,1.0086111
trailingAnnualDividendRate,0.04
open,1.69
averageVolume10days,5727316
expireDate,
yield,
algorithm,
dividendRate,0.08
exDividendDate,1583366400
beta,4.941939
circulatingSupply,
startDate,
regularMarketDayLow,1.6600000000000001
priceHint,4
currency,USD
trailingPE,20.344828
regularMarketVolume,11083580
lastMarket,
maxSupply,
openInterest,
marketCap,428731136
volumeAllCurrencies,
strikePrice,
averageVolume,3746106
priceToSalesTrailing12Months,0.5067145
dayLow,1.6600000000000001
ask,0
ytdReturn,
askSize,1200
volume,11083580
fiftyTwoWeekHigh,4.8
forwardPE,-4.2142859999999995
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.26
bid,0
tradeable,False
dividendYield,0.045200000000000004
bidSize,3000
dayHigh,1.87
exchange,NYQ
shortName,"QEP Resources, Inc."
longName,"QEP Resources, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,QEP
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_1565109
uuid,b5cc1119-33cf-38d0-8a78-79b819ad97da
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.444
beta3Year,
profitMargins,0.027660001
enterpriseToEbitda,3.136
52WeekChange,
morningStarRiskRating,
forwardEps,-0.42
revenueQuarterlyGrowth,
sharesOutstanding,242220992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,11.554
sharesShort,4325550
sharesPercentSharesOut,0.0179
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.58572
netIncomeToCommon,23400000
trailingEps,0.08700000000000001
lastDividendValue,
SandP52WeekChange,
priceToBook,0.1531937
heldPercentInsiders,0.09147000000000001
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.54
sharesShortPreviousMonthDate,1601424000
floatShares,234964176
enterpriseValue,2067631360
threeYearAverageReturn,
lastSplitDate,
lastSplitFactor,
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.07
lastCapGain,
shortPercentOfFloat,0.024500001
sharesShortPriorMonth,3283452
category,
fiveYearAverageReturn,
regularMarketPrice,1.69
logo_url,https://logo.clearbit.com/qepres.com
