key,value
zip,79701
sector,Energy
fullTimeEmployees,58
longBusinessSummary,"Ring Energy, Inc., an exploration and production company, acquires, explores for, develops, and produces oil and natural gas in Texas and New Mexico. As of December 31, 2019, the company's proved reserves consisted of approximately 81.1 million barrel of oil equivalent. It also had interests in 18,372 net developed acres and 47,427 net undeveloped acres in Andrews and Gaines counties, Texas; 19,138 net developed acres and 860 net undeveloped acres in Culberson and Reeves counties, Texas; and 8,085 net developed acres and 28,514 net undeveloped acres in Gaines, Yoakum, Runnels, and Coke Counties, Texas and Lea County, New Mexico. It primarily sells its oil and natural gas production to end users, marketers, and other purchasers. The company was formerly known as Transglobal Mining Corp. and changed its name to Ring Energy, Inc. in March 2008. Ring Energy, Inc. was founded in 2004 and is headquartered in Midland, Texas."
city,Midland
phone,432-682-7464
state,TX
country,United States
companyOfficers,[]
website,http://www.ringenergy.com
maxAge,1
address1,"901 West Wall Street, 3rd Floor"
industry,Oil & Gas E&P
address2,Suite 300
previousClose,0.6396000000000001
regularMarketOpen,0.7033
twoHundredDayAverage,0.92568344
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.74
navPrice,
averageDailyVolume10Day,1822733
totalAssets,
regularMarketPreviousClose,0.6396000000000001
fiftyDayAverage,0.6205556
trailingAnnualDividendRate,
open,0.7033
averageVolume10days,1822733
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,
beta,2.689402
circulatingSupply,
startDate,
regularMarketDayLow,0.651
priceHint,4
currency,USD
regularMarketVolume,3079933
lastMarket,
maxSupply,
openInterest,
marketCap,54775132
volumeAllCurrencies,
strikePrice,
averageVolume,1468684
priceToSalesTrailing12Months,0.42844543
dayLow,0.651
ask,0
ytdReturn,
askSize,800
volume,3079933
fiftyTwoWeekHigh,3.31
forwardPE,16.7675
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.43
bid,0
tradeable,False
dividendYield,
bidSize,1100
dayHigh,0.74
exchange,ASE
shortName,"Ring Energy, Inc."
longName,"Ring Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,REI
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_4420411
uuid,3ee88f3c-cef0-3691-a970-92ccecf68bb9
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,3.116
beta3Year,
profitMargins,-0.68934995
enterpriseToEbitda,3.992
52WeekChange,
morningStarRiskRating,
forwardEps,0.04
revenueQuarterlyGrowth,
sharesOutstanding,81668600
fundInceptionDate,
annualReportExpenseRatio,
bookValue,6.366
sharesShort,10229208
sharesPercentSharesOut,0.1274
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.34454
netIncomeToCommon,-88130856
trailingEps,-1.3
lastDividendValue,
SandP52WeekChange,
priceToBook,0.10535658
heldPercentInsiders,0.19990000000000002
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,6.6
sharesShortPreviousMonthDate,1601424000
floatShares,57406492
enterpriseValue,398338208
threeYearAverageReturn,
lastSplitDate,1212364800
lastSplitFactor,1:18
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,0.07
lastCapGain,
shortPercentOfFloat,0.15230000000000002
sharesShortPriorMonth,10082869
category,
fiveYearAverageReturn,
regularMarketPrice,0.7033
logo_url,https://logo.clearbit.com/ringenergy.com
