key,value
zip,92020
sector,Energy
fullTimeEmployees,12
longBusinessSummary,"Royale Energy, Inc. acquires, explores for, develops, produces, and sells oil and natural gas properties in the United States. Its principal operations are located in the Sacramento Basin and San Joaquin Basin in California, as well as in Utah, Texas, Oklahoma, Colorado, and Louisiana. Royale Energy, Inc. was founded in 1986 and is based in El Cajon, California."
city,El Cajon
phone,619 383 6600
state,CA
country,United States
companyOfficers,[]
website,http://www.royl.com
maxAge,1
address1,1870 Cordell Court
fax,619 383 6699
industry,Oil & Gas E&P
address2,Suite 210
previousClose,0.082
regularMarketOpen,0.091
twoHundredDayAverage,0.13258994
trailingAnnualDividendYield,
payoutRatio,0
volume24Hr,
regularMarketDayHigh,0.1
navPrice,
averageDailyVolume10Day,57883
totalAssets,
regularMarketPreviousClose,0.082
fiftyDayAverage,0.09611111
trailingAnnualDividendRate,
open,0.091
averageVolume10days,57883
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1171411200
beta,3.942502
circulatingSupply,
startDate,
regularMarketDayLow,0.09
priceHint,4
currency,USD
regularMarketVolume,92562
lastMarket,
maxSupply,
openInterest,
marketCap,5427390
volumeAllCurrencies,
strikePrice,
averageVolume,29926
priceToSalesTrailing12Months,2.577719
dayLow,0.09
ask,
ytdReturn,
askSize,
volume,92562
fiftyTwoWeekHigh,0.26
forwardPE,
fromCurrency,
fiveYearAvgDividendYield,
fiftyTwoWeekLow,0.04
bid,
tradeable,False
dividendYield,
bidSize,
dayHigh,0.1
exchange,PNK
shortName,ROYALE ENERGY INC
longName,"Royale Energy, Inc."
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,False
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,ROYL
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_341309
uuid,f3179842-b4bb-3223-abd8-a68b453b989a
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,13.058
beta3Year,
profitMargins,-0.041830000000000006
enterpriseToEbitda,-10.561
52WeekChange,
morningStarRiskRating,
forwardEps,
revenueQuarterlyGrowth,
sharesOutstanding,54273900
fundInceptionDate,
annualReportExpenseRatio,
bookValue,-0.381
sharesShort,179646
sharesPercentSharesOut,0.011
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.0002
netIncomeToCommon,-844296
trailingEps,-0.016
lastDividendValue,
SandP52WeekChange,
priceToBook,
heldPercentInsiders,0.51971
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,1.92
sharesShortPreviousMonthDate,1448841600
floatShares,31376838
enterpriseValue,27493706
threeYearAverageReturn,
lastSplitDate,1088726400
lastSplitFactor,1215:1000
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1451520000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.012999999000000002
sharesShortPriorMonth,286098
category,
fiveYearAverageReturn,
regularMarketPrice,0.091
logo_url,https://logo.clearbit.com/royl.com
