key,value
zip,76102
sector,Energy
fullTimeEmployees,655
longBusinessSummary,"Range Resources Corporation operates as an independent natural gas, natural gas liquids (NGLs), and oil company in the United States. The company engages in the exploration, development, and acquisition of natural gas and oil properties. It holds interests in developed and undeveloped natural gas and oil leases in the Appalachian and North Louisiana regions of the United States. As of December 31, 2019, the company owned and operated 1,272 net producing wells and approximately 833,000 net acres under lease in the Appalachian region; and 409 net producing wells and approximately 105,000 net acres under lease in the North Louisiana region. It markets and sells natural gas, and NGLs to utilities, marketing and midstream companies, and industrial users; petrochemical end users, NGL distributors, and natural gas processors; and oil and condensate to crude oil processors, transporters, and refining and marketing companies. The company was formerly known as Lomak Petroleum, Inc. and changed its name to Range Resources Corporation in 1998. Range Resources Corporation was founded in 1976 and is headquartered in Fort Worth, Texas."
city,Fort Worth
phone,817 870 2601
state,TX
country,United States
companyOfficers,[]
website,http://www.rangeresources.com
maxAge,1
address1,100 Throckmorton Street
fax,817 869 9100
industry,Oil & Gas E&P
address2,Suite 1200
previousClose,7.64
regularMarketOpen,7.77
twoHundredDayAverage,7.029784
trailingAnnualDividendYield,0.0026178010000000003
payoutRatio,
volume24Hr,
regularMarketDayHigh,8.0889
navPrice,
averageDailyVolume10Day,5619783
totalAssets,
regularMarketPreviousClose,7.64
fiftyDayAverage,7.5691667
trailingAnnualDividendRate,0.02
open,7.77
averageVolume10days,5619783
expireDate,
yield,
algorithm,
dividendRate,
exDividendDate,1576108800
beta,2.929537
circulatingSupply,
startDate,
regularMarketDayLow,7.65
priceHint,2
currency,USD
regularMarketVolume,4566812
lastMarket,
maxSupply,
openInterest,
marketCap,2048100608
volumeAllCurrencies,
strikePrice,
averageVolume,5544460
priceToSalesTrailing12Months,1.1042509
dayLow,7.65
ask,0
ytdReturn,
askSize,1200
volume,4566812
fiftyTwoWeekHigh,9.41
forwardPE,8.877778
fromCurrency,
fiveYearAvgDividendYield,0.79
fiftyTwoWeekLow,1.6099999999999999
bid,0
tradeable,False
dividendYield,
bidSize,2900
dayHigh,8.0889
exchange,NYQ
shortName,Range Resources Corporation
longName,Range Resources Corporation
exchangeTimezoneName,America/New_York
exchangeTimezoneShortName,EST
isEsgPopulated,True
gmtOffSetMilliseconds,-18000000
underlyingSymbol,
quoteType,EQUITY
symbol,RRC
underlyingExchangeSymbol,
headSymbol,
messageBoardId,finmb_93030
uuid,2e38f085-c47b-3bd8-8e45-e40dbd246ed7
market,us_market
annualHoldingsTurnover,
enterpriseToRevenue,2.654
beta3Year,
profitMargins,-1.34087
enterpriseToEbitda,14.115
52WeekChange,
morningStarRiskRating,
forwardEps,0.9
revenueQuarterlyGrowth,
sharesOutstanding,256332992
fundInceptionDate,
annualReportExpenseRatio,
bookValue,7.048
sharesShort,36401952
sharesPercentSharesOut,0.14200000000000002
fundFamily,
lastFiscalYearEnd,1577750400
heldPercentInstitutions,0.96299005
netIncomeToCommon,-2486107904
trailingEps,-10.215
lastDividendValue,
SandP52WeekChange,
priceToBook,1.133655
heldPercentInsiders,0.024020000000000003
nextFiscalYearEnd,1640908800
mostRecentQuarter,1601424000
shortRatio,6.61
sharesShortPreviousMonthDate,1601424000
floatShares,233499485
enterpriseValue,4922089472
threeYearAverageReturn,
lastSplitDate,1133740800
lastSplitFactor,3:2
legalType,
morningStarOverallRating,
earningsQuarterlyGrowth,
dateShortInterest,1604016000
pegRatio,
lastCapGain,
shortPercentOfFloat,0.21660000000000001
sharesShortPriorMonth,39578557
category,
fiveYearAverageReturn,
regularMarketPrice,7.77
logo_url,https://logo.clearbit.com/rangeresources.com
